handle,fonte,produto_L,produto_W,produto_H,caixa_L,caixa_W,caixa_H,volume_in3,ft3,peso_dimensional_lb
navien-high-efficiency-condensing-combi-boiler-max-htg-input-175-000-btu-h-max-dhw-input-210-000-btu-h-indoor-wall-hung-residential-commercial-nfc-250-175h,Dimensions,17.3,33.5,17.3,19.3,35.5,19.3,13223.4,7.65,95.13
navien-high-efficiency-condensing-combi-boiler-max-htg-input-199-900-btu-h-max-dhw-input-210-000-btu-h-indoor-wall-hung-residential-commercial-nfc-250-200h,Dimensions,17.3,33.5,17.3,19.3,35.5,19.3,13223.4,7.65,95.13
navien-high-efficiency-condensing-heating-boiler-max-htg-input-110-000-btu-h-indoor-wall-hung-residential-commercial,Dimensions,17.3,23.8,12.8,19.3,25.8,14.8,7369.5,4.26,53.02
navien-high-efficiency-condensing-heating-boiler-max-htg-input-150-000-btu-h-indoor-wall-hung-residential-commercial-nhb-150,Dimensions,17.3,23.8,12.8,19.3,25.8,14.8,7369.5,4.26,53.02
navien-high-efficiency-condensing-heating-boiler-max-htg-input-175-000-btu-h-indoor-wall-hung-residential-commercial-nfb-175h,Dimensions,17.3,27.6,17.3,19.3,29.6,19.3,11025.7,6.38,79.32
navien-high-efficiency-condensing-heating-boiler-max-htg-input-200-000-btu-h-indoor-wall-hung-residential-commercial-nfb-200h,Dimensions,17.3,27.6,17.3,19.3,29.6,19.3,11025.7,6.38,79.32
navien-high-efficiency-condensing-heating-boiler-max-htg-input-55-000-btu-h-indoor-wall-hung-residential-commercial,Dimensions,17.3,23.8,12.8,19.3,25.8,14.8,7369.5,4.26,53.02
navien-high-efficiency-condensing-heating-boiler-max-htg-input-80-000-btu-h-indoor-wall-hung,Dimensions,17.3,23.8,12.8,19.3,25.8,14.8,7369.5,4.26,53.02
navien-high-efficiency-condensing-tankless-water-heater-max-input-120-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-150s2,Dimensions,17.3,27.4,13.2,19.3,29.4,15.2,8624.8,4.99,62.05
navien-high-efficiency-condensing-tankless-water-heater-max-input-150-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-180a2,Dimensions,17.3,27.4,13.2,19.3,29.4,15.2,8624.8,4.99,62.05
navien-high-efficiency-condensing-tankless-water-heater-max-input-150-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-210s2,Dimensions,17.3,27.4,13.2,19.3,29.4,15.2,8624.8,4.99,62.05
navien-high-efficiency-condensing-tankless-water-heater-max-input-180-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-210a2,Dimensions,17.3,27.4,13.2,19.3,29.4,15.2,8624.8,4.99,62.05
navien-high-efficiency-condensing-tankless-water-heater-max-input-180-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-180s2,Dimensions,17.3,27.4,13.2,19.3,29.4,15.2,8624.8,4.99,62.05
navien-high-efficiency-condensing-tankless-water-heater-max-input-199-900-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-240a2,Dimensions,17.3,27.4,13.2,19.3,29.4,15.2,8624.8,4.99,62.05
navien-high-efficiency-condensing-tankless-water-heater-max-input-199-900-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-240s2,Dimensions,17.3,27.4,13.2,19.3,29.4,15.2,8624.8,4.99,62.05
navien-mid-efficiency-tankless-water-heater-max-dhw-input-160-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npn-160u-lp,Dimensions,14.0,23.0,9.3,16.0,25.0,11.3,4520.0,2.62,32.52
navien-mid-efficiency-tankless-water-heater-max-dhw-input-180-000-btu-h-exterior-only-wall-hung-residential-commercial-npn-180e-lp,Dimensions,14.0,23.0,9.3,16.0,25.0,11.3,4520.0,2.62,32.52
navien-mid-efficiency-tankless-water-heater-max-dhw-input-180-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npn-180u-lp,Dimensions,14.0,23.0,9.3,16.0,25.0,11.3,4520.0,2.62,32.52
navien-nhw-ae-180-000-btu-compact-tankless-water-heaters-indoor-installation-built-in-recirculation-pump-buffer-tank-natural-gas,Dimensions,17.3,26.5,10.3,19.3,28.5,12.3,6765.6,3.92,48.67
navien-nhw-ae-199-000-btu-compact-tankless-water-heaters-indoor-installation-built-in-recirculation-pump-buffer-tank-natural-gas,Dimensions,17.3,26.5,10.3,19.3,28.5,12.3,6765.6,3.92,48.67
navien-nhw-su-160-000-btu-compact-tankless-water-heaters-work-great-inside-and-outside-natural-gas,Dimensions,14.0,23.0,9.3,16.0,25.0,11.3,4520.0,2.62,32.52
navien-nhw-su-180-000-btu-compact-tankless-water-heaters-work-great-inside-and-outside-natural-gas,Dimensions,14.0,23.0,9.3,16.0,25.0,11.3,4520.0,2.62,32.52
navien-nhw-su-199-000-btu-compact-tankless-water-heaters-work-great-inside-and-outside-natural-gas,Dimensions,14.0,23.0,9.3,16.0,25.0,11.3,4520.0,2.62,32.52
navien-nhw-su-199-000-btu-compact-tankless-water-heaters-work-great-inside-and-outside-propane,Dimensions,14.0,23.0,9.3,16.0,25.0,11.3,4520.0,2.62,32.52
neorest-as-dual-flush-1-0-or-0-8-gpf-toilet-with-intergeated-bidet-seat-and-ewater-cotton-white-ms8551cumfg-01,L/W/H,27.25,15.25,21.38,29.25,17.25,23.38,11796.7,6.83,84.87
neorest-rs-dual-flush-1-0-or-0-8-gpf-toilet-with-intergeated-bidet-seat-and-ewater-cotton-white-ms8341cumfg-01,L/W/H,27.12,15.25,21.5,29.12,17.25,23.5,11804.5,6.83,84.92
non-programmable-digital-line-volt-thermostat,Dimensions,4.88,2.75,0.88,6.88,4.75,2.88,94.1,0.05,0.68
o-ring-for-tailpiece-chemical-resistant,L/W/H,7.0,6.0,4.0,9.0,8.0,6.0,432.0,0.25,3.11
outside-metal-cover-for-exposed-manual-flush-valve-chrome-plated-brass,L/W/H,5.0,4.0,1.5,7.0,6.0,3.5,147.0,0.09,1.06
p-17maerator-1-5gpm-pca-vr-jr-13-16-27male-neoperl-b9-279,L/W/H,7.0,6.0,4.0,9.0,8.0,6.0,432.0,0.25,3.11
p1000axl-pressure-relief-valve-set-at-125psi,L/W/H,3.44,2.0,1.5,5.44,4.0,3.5,76.2,0.04,0.55
p1000axl-pressure-relief-valve-set-at-150-psi,L/W/H,3.44,2.0,1.5,5.44,4.0,3.5,76.2,0.04,0.55
p1000axl-pressure-relief-valve-set-at-30-psi,L/W/H,3.44,2.0,1.5,5.44,4.0,3.5,76.2,0.04,0.55
plate-or-panel-mounted-208-277-480-v-ac-transformer-with-9-in-leadwires,Dimensions,3.19,2.19,3.62,5.19,4.19,5.62,122.2,0.07,0.88
plymouth-wall-hung-lav-19x17-4cc-white,L/W/H,20.08,17.0,18.74,22.08,19.0,20.74,8700.8,5.04,62.6
precis-21-single-bowl-kitchen-sink-white,L/W/H,20.87,18.0,7.87,22.87,20.0,9.87,4514.5,2.61,32.48
precis-27-single-bowl-kitchen-sink-cinder,CSV anterior,26.81,15.75,9.03,28.81,17.75,11.03,5640.5,3.26,40.58
precis-equal-double-bowl-kitchen-sink-metallic-gray,L/W/H,29.75,18.0,8.37,31.75,20.0,10.37,6584.9,3.81,47.37
precis-super-single-bowl-kitchen-sink-white,L/W/H,32.0,19.0,9.87,34.0,21.0,11.87,8475.2,4.9,60.97
pressure-balance-rough-in-valve,L/W/H,3.0,6.0,4.0,5.0,8.0,6.0,240.0,0.14,1.73
pressure-balance-valve-cartridge-in-grohe-chrome-groh-47-678000,L/W/H,3.0,1.0,2.0,5.0,3.0,4.0,60.0,0.03,0.43
pressuretrol-controller-with-additive-1-to-5-psi-differential-pressure,Dimensions,4.47,3.38,2.25,6.47,5.38,4.25,147.9,0.09,1.06
pressuretrol-controller-with-subtractive-1-to-5-psi-differential-pressure,Dimensions,4.47,3.38,2.25,6.47,5.38,4.25,147.9,0.09,1.06
pro-1000-horizontal-non-programmable-thermostat,Dimensions,3.44,4.0,1.19,5.44,6.0,3.19,104.1,0.06,0.75
pro-1000-horizontal-non-programmable-thermostat-hone-th1210dh1001-u,Dimensions,3.44,4.63,1.19,5.44,6.63,3.19,115.1,0.07,0.83
pro-2000-horizontal-programmable-thermostat,Dimensions,3.44,4.0,1.19,5.44,6.0,3.19,104.1,0.06,0.75
pro-2000-horizontal-programmable-thermostat-hone-th2210dh1000-u,Dimensions,3.44,4.63,1.19,5.44,6.63,3.19,115.1,0.07,0.83
protectorelay-oil-burner-control-with-15-seconds-lock-out-timing,Dimensions,4.38,4.12,2.5,6.38,6.12,4.5,175.7,0.1,1.26
protectorelay-oil-burner-control-with-45-second-safety-timing,Dimensions,4.38,4.12,2.5,6.38,6.12,4.5,175.7,0.1,1.26
pvc-adjustable-floor-drain-5-inch-nickel-bronze-head-with-deck-plate-and-3-inch-x-4-inch-solvent-weld-outlet,L/W/H,9.85,9.85,6.0,11.85,11.85,8.0,1123.4,0.65,8.08
quatrus-r15-28-single-bowl-kitchen-sink,CSV anterior,28.0,16.0,9.08,30.0,18.0,11.08,5983.2,3.46,43.04
quick-coupling-in-grohe-chrome,L/W/H,2.0,1.0,1.0,4.0,3.0,3.0,36.0,0.02,0.26
redlink-enabled-wireless-indoor-air-sensor,Dimensions,2.88,1.88,0.94,4.88,3.88,2.94,55.7,0.03,0.4
redlink-equipment-remote-module,Dimensions,6.0,6.0,1.0,8.0,8.0,3.0,192.0,0.11,1.38
redlink-equipment-remote-module-kit,Dimensions,6.0,6.0,1.0,8.0,8.0,3.0,192.0,0.11,1.38
replacement-duct-or-remote-mount-differential-pressure-switch-truesteam-humidifier,Dimensions,4.0,3.0,2.0,6.0,5.0,4.0,120.0,0.07,0.86
return-duct-backup-control-of-non-zoned-redlink-enabled,Dimensions,3.88,4.12,1.25,5.88,6.12,3.25,117.0,0.07,0.84
rubber-and-springs-repair-kit-compatible-with-the-1-4-1-2-model-975xl-and-975xl2-and-3-8-1-2-975xlst,L/W/H,2.6,5.3,5.6,4.6,7.3,7.6,255.2,0.15,1.84
s483b1002-beige-winter-watchman,Dimensions,3.38,2.12,0.81,5.38,4.12,2.81,62.3,0.04,0.45
sail-switch-with-5-in-wide-sail,Dimensions,2.94,3.75,2.0,4.94,5.75,4.0,113.6,0.07,0.82
sail-switch-with-5-in-wide-sail-bulk,Dimensions,2.94,3.75,2.0,4.94,5.75,4.0,113.6,0.07,0.82
service-faucet-vacuum-breaker-repair-kit,L/W/H,2.0,2.0,0.75,4.0,4.0,2.75,44.0,0.03,0.32
sierra-faucet-with-0-5-gpm-vandal-proof-spray-outlet-lead-free,L/W/H,12.4,12.2,7.2,14.4,14.2,9.2,1881.2,1.09,13.53
single-handle-semi-pro-dual-spray-kitchen-faucet-1-75-gpm-in-grohe-chrome,L/W/H,11.0,5.0,21.0,13.0,7.0,23.0,2093.0,1.21,15.06
single-pole-line-voltage-programmable-thermostat,Dimensions,4.88,2.75,0.88,6.88,4.75,2.88,94.1,0.05,0.68
single-stage-24-vac-slow-opening-standing-pilot-gas-valve-1-2-x-1-2-set-3-5-wc,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
single-stage-24-vac-standard-opening-direct-ignition-gas-valve-1-2-x-1-2-in-set-3-5-in-wc,Dimensions,3.38,4.44,2.7,5.38,6.44,4.7,162.8,0.09,1.17
single-stage-24-vac-standard-opening-intermittent-pilot-gas-valve-1-2-x-1-2-set-3-5-wc,Dimensions,4.62,4.12,2.69,6.62,6.12,4.69,190.0,0.11,1.37
single-stage-24-vac-standard-opening-intermittent-pilot-gas-valve-3-4-x-3-4-in-set-3-5-in-wc,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
single-stage-24-vac-standard-opening-standing-pilot-gas-valve-3-4-x-3-4-in-set-3-5-in-wc,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
single-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-fast-fast-opening-24-v-ac-natural-gas,Dimensions,2.7,4.44,3.38,4.7,6.44,5.38,162.8,0.09,1.17
single-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,Dimensions,4.94,4.12,2.69,6.94,6.12,4.69,199.2,0.12,1.43
single-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas-hone-vr8215s1248t-u,Dimensions,2.7,4.44,3.38,4.7,6.44,5.38,162.8,0.09,1.17
single-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-3-4-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
single-stage-gas-controls-for-intermittent-pilot-appliance-1-2-in-x-1-2-in-inlet-outlet-size-slow-opening-24-v-ac-natural-gas,Dimensions,4.62,4.12,2.69,6.62,6.12,4.69,190.0,0.11,1.37
single-stage-gas-controls-for-intermittent-pilot-appliance-3-4-in-x-3-4-in-inlet-outlet-size-step-opening-24-v-ac-lp-gas,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
single-stage-gas-controls-for-standing-pilot-appliance-3-4-in-x-3-4-in-standard-opening-120-v-ac-natural-gas-lp-with-included-conversion-kit,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
single-stage-gas-controls-for-standing-pilot-appliance-3-4-in-x-3-4-in-standard-opening-24-v-ac-natural-gas-lp-with-included-conversion-kit,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
single-stage-heat-only-thermostat-for-750-mv-applications,Dimensions,3.12,3.12,0.88,5.12,5.12,2.88,75.5,0.04,0.54
single-zone-switching-relay,Dimensions,6.0,5.0,2.0,8.0,7.0,4.0,224.0,0.13,1.61
six-zone-switching-relay,Dimensions,8.0,11.0,2.0,10.0,13.0,4.0,520.0,0.3,3.74
six-zone-valve-controller,Dimensions,7.0,11.0,2.0,9.0,13.0,4.0,468.0,0.27,3.37
slow-opening-smartvalve-direct-hot-surface-ignition-natural-lp-with-included-conversion-kit-1-2-in-nptx-1-2-in-npt,Dimensions,3.2,4.9,4.1,5.2,6.9,6.1,218.9,0.13,1.57
speedflex-air-gap-plastic,L/W/H,3.25,2.0,9.0,5.25,4.0,11.0,231.0,0.13,1.66
standard-2-stage-opening-smartvalve-intermittent-hot-surface-pilot-ignition-natural-gas-1-2-in-npt-x-1-2-in-npt-inlet-outlet-size,Dimensions,3.2,4.9,4.1,5.2,6.9,6.1,218.9,0.13,1.57
standard-opening-intermittent-pilot-with-comb-air-control,Dimensions,3.2,4.9,4.1,5.2,6.9,6.1,218.9,0.13,1.57
standard-opening-smartvalve-intermittent-hot-surface-pilot,Dimensions,3.2,4.9,4.1,5.2,6.9,6.1,218.9,0.13,1.57
standard-opening-smartvalve-intermittent-hot-surface-pilot-ignition-natural-lp-with-included-conversion-kit-3-4-in-npt-x-3-4-in-npt,Dimensions,3.2,4.9,4.1,5.2,6.9,6.1,218.9,0.13,1.57
stellar-single-bowl-laundry-sink,L/W/H,23.0,17.0,12.08,25.0,19.0,14.08,6688.0,3.87,48.12
stop-valve-repair-kit-for-flush-valves-fits-1-control-stops,L/W/H,7.0,6.0,4.0,9.0,8.0,6.0,432.0,0.25,3.11
switching-relay-with-24v-control-coils,Dimensions,5.25,4.25,2.31,7.25,6.25,4.31,195.3,0.11,1.41
switching-relay-with-internal-transformer,Dimensions,5.25,4.25,2.31,7.25,6.25,4.31,195.3,0.11,1.41
t1-pro-non-programmable-thermostat,Dimensions,4.0,4.0,1.0,6.0,6.0,3.0,108.0,0.06,0.78
t10-pro-smart-with-redlink-thermostat-kit-with-sensor,Dimensions,4.9,3.7,0.93,6.9,5.7,2.93,115.2,0.07,0.83
t3-pro-non-programmable-thermostat,Dimensions,3.86,5.36,1.08,5.86,7.36,3.08,132.8,0.08,0.96
t3-pro-non-programmable-thermostat-hone-th3210u2004-u,Dimensions,3.86,5.36,1.08,5.86,7.36,3.08,132.8,0.08,0.96
t4-pro-programmable-thermostat-with-stages-up-to-2-heat-1-cool-heat-pumps-up-to-1-heat-1-cool-conventional-systems,Dimensions,4.0,4.0,1.0,6.0,6.0,3.0,108.0,0.06,0.78
t6-pro-hydronic-programmable-thermostat,Dimensions,4.0,4.0,1.0,6.0,6.0,3.0,108.0,0.06,0.78
t6-pro-programmable-thermostat-up-to-2-heat-1-cool,Dimensions,4.0,4.0,1.0,6.0,6.0,3.0,108.0,0.06,0.78
t6-pro-programmable-thermostat-up-to-2-heat-2-cool,Dimensions,4.0,4.0,1.0,6.0,6.0,3.0,108.0,0.06,0.78
t6-pro-programmable-thermostat-up-to-3-heat-2-cool,Dimensions,4.0,4.0,1.0,6.0,6.0,3.0,108.0,0.06,0.78
t6-pro-smart-thermostat-multi-stage-2-heat-2-cool,Dimensions,4.0,4.0,1.0,6.0,6.0,3.0,108.0,0.06,0.78
three-zone-switching-relay,Dimensions,8.0,11.0,2.0,10.0,13.0,4.0,520.0,0.3,3.74
three-zone-valve-controller,Dimensions,7.0,10.0,2.0,9.0,12.0,4.0,432.0,0.25,3.11
toto-dartmouth-and-whitney-universal-height-elongated-toilet-bowl-cotton-white-c754ef-01,L/W/H,27.0,14.0,16.5,29.0,16.0,18.5,8584.0,4.97,61.76
toto-drake-ii-universal-height-elongated-toilet-bowl-with-cefiontect-cotton-white-c454cufg-01,L/W/H,27.88,15.0,16.12,29.88,17.0,18.12,9204.2,5.33,66.22
toto-eco-clayton-and-clayton-universal-height-elongated-toilet-bowl-sedona-beige-c784ef-12,L/W/H,28.5,14.0,16.12,30.5,16.0,18.12,8842.6,5.12,63.62
toto-promenade-ii-universal-height-toilet-bowl-with-cefiontect-cotton-white-c404cufg-01,L/W/H,28.12,14.0,16.25,30.12,16.0,18.25,8795.0,5.09,63.27
toto-s7-washlet-electronic-bidet-toilet-seat-with-ewater-bowl-and-wand-cleaning-and-classic-lid-elongated-cotton-white-sw4724at40-01,L/W/H,20.88,15.06,4.06,22.88,17.06,6.06,2365.4,1.37,17.02
toto-s7-washlet-electronic-bidet-toilet-seat-with-ewater-bowl-and-wand-cleaning-and-contemporary-lid-elongated-cotton-white-sw4726at40-01,L/W/H,20.88,15.06,4.06,22.88,17.06,6.06,2365.4,1.37,17.02
toto-s7a-washlet-electronic-bidet-toilet-seat-with-ewater-bowl-and-wand-cleaning-auto-open-and-close-contemporary-lid-elongated-cotton-white-sw4736at40-01,L/W/H,20.88,15.06,4.06,22.88,17.06,6.06,2365.4,1.37,17.02
toto-standard-r-ecopower-0-5-gpm-touchless-bathroom-faucet-10-second-on-demand-flow-polished-chrome-t28s51e-cp,L/W/H,5.94,1.31,6.12,7.94,3.31,8.12,213.4,0.12,1.54
toto-tornado-flush-commercial-flushometer-floor-mounted-universal-height-toilet-elongated-cotton-white-ct725cuf-01,L/W/H,25.25,14.0,17.12,27.25,16.0,19.12,8336.3,4.82,59.97
toto-ultimate-one-piece-elongated-1-6-gpf-toilet-cotton-white-ms854114-01,L/W/H,28.12,16.5,27.12,30.12,18.5,29.12,16226.2,9.39,116.74
toto-usa-cotton-undermount-sinks-4-on-center-faucet-hole-vitreous-china-21-1-4-x-17-1-4-x-7-1-2,L/W/H,21.0,17.0,7.0,23.0,19.0,9.0,3933.0,2.28,28.29
toto-washlet-a2-electronic-bidet-toilet-seat-with-heated-seat-and-softclose-lid-elongated-cotton-white-sw3004-01,L/W/H,20.94,18.62,6.62,22.94,20.62,8.62,4077.5,2.36,29.33
toto-washlet-k300-electronic-bidet-toilet-seat-with-instantaneous-water-heating-premist-and-ewater-wand-cleaning-elongated-cotton-white-sw3036r-01,L/W/H,20.88,15.06,5.81,22.88,17.06,7.81,3048.5,1.76,21.93
two-position-actuator-for-vu52-normally-open-and-vu54-valve-bodies-24-v-50-60-hz,Dimensions,2.38,3.5,2.38,4.38,5.5,4.38,105.5,0.06,0.76
two-position-actuator-for-vu53-normally-closed-valve-bodies-24-v-50-60-hz-hone-vu843a1020-u,Dimensions,2.38,3.5,2.38,4.38,5.5,4.38,105.5,0.06,0.76
two-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,Dimensions,4.62,4.12,2.69,6.62,6.12,4.69,190.0,0.11,1.37
two-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-standard-opening-24-v-ac-natural-gas-lp-with-included-conversion-kit,Dimensions,4.04,5.04,3.2,6.04,7.04,5.2,221.1,0.13,1.59
two-stage-gas-controls-for-direct-ignition-appliance-3-4-in-x-3-4-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,Dimensions,5.38,2.69,4.06,7.38,4.69,6.06,209.7,0.12,1.51
two-stage-gas-controls-for-direct-spark-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,Dimensions,4.62,4.12,2.69,6.62,6.12,4.69,190.0,0.11,1.37
unassembled-water-heater-stand-21w-x-21d-x-18h-18ga-650-rating,L/W/H,21.0,21.0,18.0,23.0,23.0,20.0,10580.0,6.12,76.12
unassembled-water-heater-stand-24w-x-24d-x-18h-16ga-1300-rating,L/W/H,24.0,24.0,18.0,26.0,26.0,20.0,13520.0,7.82,97.27
universal-24-vac-standard-opening-intermittent-direct-ignition-gas-valve-1-2-x-1-2-in-set-3-5-in-wc,Dimensions,5.38,4.06,2.69,7.38,6.06,4.69,209.7,0.12,1.51
universal-electronic-oil-aquastat-with-enviracom-communication,Dimensions,7.12,4.25,2.62,9.12,6.25,4.62,263.3,0.15,1.89
universal-hot-surface-ignition-module,Dimensions,5.25,4.06,1.94,7.25,6.06,3.94,173.1,0.1,1.25
urinal-rebuild-kit-for-0-125-gpf-aquavantage-diaphragm-flush-valve,L/W/H,6.0,7.0,4.0,8.0,9.0,6.0,432.0,0.25,3.11
urinal-rebuild-kit-for-0-5-gpf-aquaflush-diaphragm-flush-valve,L/W/H,7.0,6.0,4.0,9.0,8.0,6.0,432.0,0.25,3.11
urinal-rebuild-kit-for-1-0-gpf-aquaflush-diaphragm-flush-valve,L/W/H,6.0,7.0,4.0,8.0,9.0,6.0,432.0,0.25,3.11
urinal-rebuild-kit-for-1-0-gpf-aquavantage-diaphragm-flush-valve,L/W/H,6.0,7.0,4.0,8.0,9.0,6.0,432.0,0.25,3.11
valea-super-single-bowl-kitchen-sink-cinder,L/W/H,32.0,19.0,9.87,34.0,21.0,11.87,8475.2,4.9,60.97
valea-super-single-bowl-kitchen-sink-truffle,CSV anterior,32.0,17.0,9.87,34.0,19.0,11.87,7668.0,4.44,55.17
vc-actuator-2-position-spst-100-130-vac,Dimensions,2.8,3.7,2.7,4.8,5.7,4.7,128.6,0.07,0.93
vc-floating-actuator-sp3t-tri-state-floating-24-vac,Dimensions,2.8,3.7,2.7,4.8,5.7,4.7,128.6,0.07,0.93
vc-modulating-actuator-0-2-10-vdc-24-vac,Dimensions,2.8,3.7,2.7,4.8,5.7,4.7,128.6,0.07,0.93
viper-1-28gpf-tank-12-rough-in-for-compact-elongated-bowl-right-hand-lever-white,L/W/H,19.0,8.0,15.0,21.0,10.0,17.0,3570.0,2.07,25.68
viper-1-28gpf-tank-12-rough-in-for-compact-elongated-bowl-white,L/W/H,19.29,7.0,15.0,21.29,9.0,17.0,3257.4,1.89,23.43
viper-1-6gpf-tank-12-rough-in-white,L/W/H,18.11,7.0,15.24,20.11,9.0,17.24,3120.3,1.81,22.45
wall-hung-siphon-jet-toilet-bowl-elongated-top-spud-white-vitreous-china,L/W/H,14.38,24.75,17.0,16.38,26.75,19.0,8325.1,4.82,59.89
water-closet-rebuild-kit-for-1-28-gpf-aquavantage-diaphragm-flush-valve,L/W/H,7.0,6.0,4.0,9.0,8.0,6.0,432.0,0.25,3.11
water-closet-rebuild-kit-for-3-5-gpf-aquaflush-diaphragm-flush-valve,L/W/H,6.0,7.0,4.0,8.0,9.0,6.0,432.0,0.25,3.11
water-closet-repair-retrofit-kit-for-1-6-gpf-aquaflush-diaphragm-flush-valve,L/W/H,6.0,7.0,4.0,8.0,9.0,6.0,432.0,0.25,3.11
water-closet-repair-retrofit-kit-for-1-6-gpf-aquavantage-diaphragm-flush-valve,L/W/H,6.0,7.0,4.0,8.0,9.0,6.0,432.0,0.25,3.11
wedge-lok-base-seal,L/W/H,32.0,32.0,4.0,34.0,34.0,6.0,6936.0,4.01,49.9
west-point-wall-hung-lav-14x12-4cc-white,L/W/H,14.8,12.0,13.35,16.8,14.0,15.35,3610.3,2.09,25.97
white-heat-only-dpst-switching-thermostat-120-277-vac,Dimensions,4.5,2.88,2.62,6.5,4.88,4.62,146.5,0.08,1.05
wicker-park-1-28gpf-tank-12-rough-in-white,L/W/H,16.49,8.0,14.88,18.49,10.0,16.88,3121.1,1.81,22.45
wicker-park-countertop-lavatory-20-7-8x17-3-4-rectangle-with-u-shaped-basin-low-profile-8cc-white,L/W/H,23.62,17.0,9.5,25.62,19.0,11.5,5598.0,3.24,40.27
wicker-park-countertop-lavatory-20-7-8x17-3-4-rectangle-with-u-shaped-basin-low-profile-single-hole-white,L/W/H,23.62,17.0,9.5,25.62,19.0,11.5,5598.0,3.24,40.27
wicker-park-ped-top-or-wall-hung-lav-24-63x19-38-single-hole-white,L/W/H,25.43,19.0,8.66,27.43,21.0,10.66,6140.5,3.55,44.18
wireless-adapter-for-use-with-redlink-enabled-thermostats-and-truezone-system,Dimensions,5.56,4.38,1.25,7.56,6.38,3.25,156.8,0.09,1.13
z1203-abs-12-adjustable-coupling-with-test-cap,L/W/H,12.0,12.0,4.62,14.0,14.0,6.62,1297.5,0.75,9.33
z1203-siphon-jet-cap-nuts-with-fiber-washers-set-of-4-bag-5,L/W/H,4.5,3.5,1.0,6.5,5.5,3.0,107.2,0.06,0.77
zurn-59517005-aquaspec-xl-short-stem-quarter-turn-ceramic-disc-cartridge-cold,L/W/H,1.0,1.0,1.0,3.0,3.0,3.0,27.0,0.02,0.19
zurn-59517006-aquaspec-xl-short-stem-quarter-turn-ceramic-disc-cartridge-hot,L/W/H,1.0,1.0,0.5,3.0,3.0,2.5,22.5,0.01,0.16
zurn-59517007-aquaspec-xl-long-stem-quarter-turn-ceramic-disc-cartridge-cold,L/W/H,3.0,3.0,0.9,5.0,5.0,2.9,72.5,0.04,0.52
zurn-59517008-aquaspec-xl-long-stem-quarter-turn-ceramic-disc-cartridge-hot,L/W/H,3.0,3.0,1.0,5.0,5.0,3.0,75.0,0.04,0.54
