sku,handle,categoria,preco,peso_efetivo_lb,lambda,perfil_atual,perfil_sugerido
MOEN-CL155748,moen-chrome-handheld-shower-hose,Hand Shower Hoses,46.79,1.20,0.0256,THS Standard - no free shipping,General profile
HLNK-20228,heatlink-1-x-20-blue-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,46.35,13.14,0.2835,THS Freight & Oversize,THS Standard - no free shipping
HLNK-20228BW,heatlink-1-x-20-blue-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,46.35,13.14,0.2835,THS Freight & Oversize,THS Standard - no free shipping
HLNK-21228,heatlink-1-x-20-red-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,46.35,13.14,0.2835,THS Freight & Oversize,THS Standard - no free shipping
SIOU-696-G1010MF,oxbox-ice-maker-box-with-arrester-sweat,Ice Maker,45.49,1.40,0.0308,THS Standard - no free shipping,General profile
WATC-601-PP-ABS-CP,1-1-2-abs-push-pull-bath-waste-and-overflow-half-kit-chrome,Tub Drains,44.91,1.40,0.0312,THS Standard - no free shipping,General profile
MILW-49-56-0734,3-hole-dozer-with-carbide-teeth-hole-saw,Carbide Hole Saws,42.33,0.65,0.0154,THS Standard - no free shipping,General profile
VEGA-11505,viega-1-x-20-red-stripe-on-black-o2-barrier-pex-tubing,Barrier Tubing,42.00,14.79,0.3521,THS Freight & Oversize,THS Standard - no free shipping
IPSC-86989,24-id-x-26-od-pan-plastic-water-heater-pan-1-x-1-1-2-cpvc-drain-connection,Water Heater Pans,41.89,1.70,0.0406,THS Freight & Oversize,THS Standard - no free shipping
WEBS-H-40704W,1-fip-full-port-ball-valve-lf,FIP Ball Valves,41.27,1.03,0.0250,THS Standard - no free shipping,General profile
WEBS-H-50704W,1-sweat-full-port-ball-valve-lf,Sweat Ball Valves,41.27,1.29,0.0313,THS Standard - no free shipping,General profile
TACO-UFS-075T,union-fitting-sets-3-4-fnpt-bag-of-2-for-006e3-ecm-circulator-tacosetter-smartplus-e-spe-1,Hot Water Recirculating Pumps,40.92,0.50,0.0122,THS Standard - no free shipping,General profile
S&DF-G400-LT90-S,4-1-4-bend-90-elbow-long-sweep-gasketed-sewer-drain-fitting,Sewer & Drain Fittings,40.76,1.28,0.0314,THS Standard - no free shipping,General profile
MILW-48-22-1503,fastback-folding-utility-knife-set,Cutting Tools,40.59,0.62,0.0153,THS Standard - no free shipping,General profile
JOMA-105-105G,1-fip-horizontal-swing-check-valve-threaded-connection-class-125-200-wog,Check Valves,39.60,1.33,0.0336,THS Standard - no free shipping,General profile
JOMA-105-624G,3-4-press-inline-check-valve-press-expansion-connection-200-wog-class-151,Check Valves,39.54,1.33,0.0336,THS Standard - no free shipping,General profile
MPEX-1241020,mr-pex-3-4-x-20-red-o2-barrier-pex-a-tubing,Barrier Tubing,39.46,29.20,0.7400,THS Freight & Oversize,THS Standard - no free shipping
WEBS-H-81703W,3-4-press-full-port-ball-valve-lf,Press Ball Valves,39.16,0.77,0.0197,THS Standard - no free shipping,General profile
DELT-H79,delta-metal-lever-handle-kit-tub-shower-chrome,Tub & Shower Repair Parts,38.88,0.55,0.0141,THS Freight & Oversize,General profile
SIOU-641WG444,1-pex-f1960-tee-brass,F1960 Expansion Fittings,38.55,0.05,0.0013,THS Standard - no free shipping,General profile
SSTN-150-5.5,1-1-2-x-5-1-2-304-stainless-steel-pipe-nipple-schedule-40-mnpt-x-mnpt,Stainless Steel Nipples,38.22,1.20,0.0314,THS Standard - no free shipping,General profile
MOEN-6300EP,moen-eco-performance-1-spray-2-5-single-wall-mount-fixed-shower-head-in-chrome,Single-Function Shower Heads,37.88,0.46,0.0121,THS Standard - no free shipping,General profile
JOMA-100-204G,3-4-press-full-port-2-piece-press-connection-dezincification-resistant-brass-250-wog,Press Ball Valves,37.84,1.05,0.0277,THS Standard - no free shipping,General profile
GERB-D495002,1-1-4-metal-pop-up-drain-assembly-with-lift-chrome,Faucet & Tap Parts & Accessories,37.26,0.70,0.0188,THS Standard - no free shipping,General profile
JOMA-150-105G,1-fip-full-port-2-piece-threaded-connection-600-wog,FIP Ball Valves,36.86,1.10,0.0298,THS Standard - no free shipping,General profile
JOMA-150-115G,1-sweat-full-port-2-piece-solder-connectiopn-600-wog,Sweat Ball Valves,36.62,1.15,0.0314,THS Standard - no free shipping,General profile
WEBS-H-40612,1-2-fip-full-port-ball-valve-with-hose-drain,FIP Ball Valves,36.60,0.50,0.0137,THS Standard - no free shipping,General profile
MILW-48-22-7408,8-adjustable-wrench,Wrenches,36.48,0.78,0.0214,THS Standard - no free shipping,General profile
MLWV-UPBA-480B-12,1-2-low-lead-bronze-full-port-press-ball-valve,Press Ball Valves,36.36,0.42,0.0116,THS Standard - no free shipping,General profile
CALE-F59650,autofill-replacement-cartridge,Mixing Valve Accessories & Parts,36.09,1.20,0.0333,THS Standard - no free shipping,General profile
SIOU-633-G3TM11,11-water-heater-connector-for-expansion-tank,Water Heater Connectors,35.25,0.73,0.0207,THS Standard - no free shipping,General profile
VEGA-35761,1-pex-x-1-pex-20-l-0-125-thick-160-psi-black-blended-high-density-cross-linked-polyethylene-tubing,Accessesories & Tools,34.11,3.48,0.1020,THS Freight & Oversize,THS Standard - no free shipping
IPSC-87013,30-id-x-32-od-pan-aluminum-water-heater-pan-1-x-1-1-2-pvc-drain-connection,Water Heater Pans,34.09,3.60,0.1056,THS Freight & Oversize,THS Standard - no free shipping
TACO-UFS-075P,union-fitting-sets-3-4-press-bag-of-2-for-006e3-ecm-circulator-tacosetter-smartplus-e-spe-1,Hot Water Recirculating Pumps,34.05,0.50,0.0147,THS Standard - no free shipping,General profile
MLWV-BA-475B-34,3-4-fip-x-fip-brass-full-port-ball-valve-600-wog-rptfe-seat-chrome-plated-ball,FIP Ball Valves,34.04,0.82,0.0241,THS Standard - no free shipping,General profile
MILW-49-56-9200,1-3-8-big-hawg-with-carbide-teeth,Carbide Hole Saws,33.48,0.07,0.0021,THS Standard - no free shipping,General profile
IPSC-87010,26-id-x-28-od-pan-aluminum-water-heater-pan-1-x-1-1-2-pvc-drain-connection,Water Heater Pans,33.36,2.60,0.0779,THS Freight & Oversize,THS Standard - no free shipping
MLWV-BA-475B-14,1-4-fip-x-fip-brass-full-port-ball-valve-600-wog-rptfe-seat-chrome-plated-ball,FIP Ball Valves,32.85,0.35,0.0107,THS Standard - no free shipping,General profile
MLWV-BA-475B-38,3-8-fip-x-fip-brass-full-port-ball-valve-600-wog-rptfe-seat-chrome-plated-ball,FIP Ball Valves,32.85,0.32,0.0097,THS Standard - no free shipping,General profile
IPSC-87031,28-id-x-30-od-pan-aluminum-water-heater-pan-1-x-1-1-2-pvc-drain-connection,Water Heater Pans,32.45,3.00,0.0924,THS Freight & Oversize,THS Standard - no free shipping
SIOU-664X4R20,1-red-powerpex-tubing-x-20,Non-Barrier Tubing,32.38,13.14,0.4058,THS Freight & Oversize,THS Standard - no free shipping
LEGE-108-908A,8-replacement-stem-cartridge-for-t-550-frostfree-sillcocks,Hose Bibbs,31.74,1.02,0.0321,THS Standard - no free shipping,General profile
SIOU-240-456212C16,1-1-2-x-12-slip-joint-ext-t-p-chrome-20ga,Extension Tube,31.45,0.16,0.0051,THS Standard - no free shipping,General profile
AMAC-4125-128,1-ranger-insert-stiffener,Water Service Fittings,31.38,1.00,0.0319,THS Standard - no free shipping,General profile
IPSC-86984,22-id-x-24-od-pan-plastic-water-heater-pan-1-x-1-1-2-cpvc-drain-connection,Water Heater Pans,31.24,1.50,0.0480,THS Freight & Oversize,THS Standard - no free shipping
DONN-YB2803CH,moen-eva-single-robe-hook-in-chrome,Robe Hooks,30.97,0.50,0.0161,THS Standard - no free shipping,General profile
MOEN-116651BN,moen-6-in-straight-shower-arm-in-brushed-nickel,Shower Arms,30.80,0.50,0.0162,THS Standard - no free shipping,General profile
GERB-D481136BB,6-showerarm-w-escutcheon-brushed-bronze,Shower Arms,30.78,0.50,0.0162,THS Standard - no free shipping,General profile
GERB-D481136BN,6-showerarm-w-escutcheon-brushed-nickel,Shower Arms,30.78,0.50,0.0162,THS Standard - no free shipping,General profile
CRBN-075-ST90-G,3-4-carbon-steel-press-fittings-gas-90-degree-street-elbow-ftg-x-p,Press Fittings - Gas,30.42,0.95,0.0312,THS Standard - no free shipping,General profile
WEBS-H-40313W,3-4-fip-x-mht-ball-valve,Specialty Ball Valves,30.02,0.68,0.0227,THS Standard - no free shipping,General profile
MILW-48-22-6108,8-comfort-grip-diagonal-cutting-pliers,Pliers,29.64,0.92,0.0310,THS Standard - no free shipping,General profile
VEGA-25730,1-2-cap-megapress,Press Fittings - Mechanical,29.23,0.90,0.0308,THS Standard - no free shipping,General profile
DELT-RP212,delta-ball-assembly-stainless-steel-knob-handle,Faucet & Tap Parts & Accessories,28.98,0.06,0.0021,THS Standard - no free shipping,General profile
VEGA-33061,viega-1-x-20-white-pureflow-pex-tubing,Non-Barrier Tubing,28.80,13.38,0.4648,THS Freight & Oversize,THS Standard - no free shipping
BRAS-OCR09X-C,1-2-x-1-4-angle-stop-comp-x-comp-chrome-bras-ocr09x-c,Stops,28.74,0.22,0.0077,THS Standard - no free shipping,General profile
JOMA-100-203G,1-2-press-full-port-2-piece-press-connection-dezincification-resistant-brass-250-wog,Press Ball Valves,28.71,0.63,0.0219,THS Standard - no free shipping,General profile
VEGA-33270,viega-1-x-20-red-pureflow-pex-tubing,Non-Barrier Tubing,28.70,13.38,0.4664,THS Freight & Oversize,THS Standard - no free shipping
VEGA-33271,viega-1-x-20-blue-pureflow-pex-tubing,Non-Barrier Tubing,28.70,13.38,0.4664,THS Freight & Oversize,THS Standard - no free shipping
MILW-49-56-0713,1-1-2-hole-dozer-with-carbide-teeth-hole-saw,Carbide Hole Saws,28.50,0.19,0.0067,THS Standard - no free shipping,General profile
CAMC-08163,thermostat-upper-tod-style-w-hlc-e-f-s-08163,"Controls, Switches & Sensors",27.83,0.93,0.0334,THS Standard - no free shipping,General profile
GERB-D481316,6-ceiling-mount-showerarm-w-escutcheon-chrome,Shower Arms,27.54,0.37,0.0134,THS Standard - no free shipping,General profile
TACO-UFS-050S,union-fitting-sets-1-2-sweat-bag-of-2-for-006e3-ecm-circulator-tacosetter-smartplus-e-spe-1,Hot Water Recirculating Pumps,27.49,0.50,0.0182,THS Standard - no free shipping,General profile
TACO-UFS-075S,union-fitting-sets-3-4-sweat-bag-of-2-for-006e3-ecm-circulator-tacosetter-smartplus-e-spe-1,Hot Water Recirculating Pumps,27.49,0.50,0.0182,THS Standard - no free shipping,General profile
WEBS-H-81702W,1-2-press-full-port-ball-valve-lf,Press Ball Valves,27.42,0.49,0.0179,THS Standard - no free shipping,General profile
MPEX-1641020,mr-pex-3-4-x-20-white-potable-pex-a-tubing,Non-Barrier Tubing,26.36,13.14,0.4985,THS Freight & Oversize,THS Standard - no free shipping
MPEX-1741020,mr-pex-3-4-x-20-red-potable-pex-a-tubing,Non-Barrier Tubing,26.36,13.14,0.4985,THS Freight & Oversize,THS Standard - no free shipping
MPEX-1841020,mr-pex-3-4-x-20-blue-potable-pex-a-tubing,Non-Barrier Tubing,26.36,13.14,0.4985,THS Freight & Oversize,THS Standard - no free shipping
BRPN-125-5,1-1-4-x-5-red-brass-pipe-nipple,Brass Nipples,25.82,91.00,3.5244,THS Freight & Oversize,THS Standard - no free shipping
BRAS-KTR07X-C,1-2-x-1-4-angle-stop-fip-x-comp,Stops,25.76,0.30,0.0116,THS Standard - no free shipping,General profile
MOEN-AT2199ORB,moen-2-5-in-shower-arm-flange-in-oil-rubbed-bronze,Shower Arms,25.23,0.09,0.0036,THS Standard - no free shipping,General profile
IPSC-87006,24-id-x-26-od-pan-aluminum-water-heater-pan-1-x-1-1-2-pvc-drain-connection,Water Heater Pans,25.12,2.30,0.0916,THS Freight & Oversize,THS Standard - no free shipping
MILW-2105,milwaukee-penlight,Personal Lighting,25.01,0.14,0.0056,THS Standard - no free shipping,General profile
WEBS-H-50703W,3-4-sweat-full-port-ball-valve-lf,Sweat Ball Valves,25.01,0.77,0.0308,THS Standard - no free shipping,General profile
BRAS-KTCR09X-C,1-2-x-1-4-angle-stop-comp-x-comp-chrome-bras-ktcr09x-c,Stops,24.96,0.28,0.0112,THS Standard - no free shipping,General profile
VEGA-79245,1x1-p-mpt-male-adapter-propress,Press Fittings - Copper (CTS),24.87,0.80,0.0322,THS Standard - no free shipping,General profile
VEGA-77057,1x1-p-ftg-cts-90-deg-elbow-street-propress,Press Fittings - Copper (CTS),24.69,0.80,0.0324,THS Standard - no free shipping,General profile
MLWV-BA-475B-12,1-2-fip-x-fip-brass-full-port-ball-valve-600-wog-rptfe-seat-chrome-plated-ball,FIP Ball Valves,24.64,0.46,0.0187,THS Standard - no free shipping,General profile
SIOU-250-12A,2-abs-turbovent-with-adapter,Auto Vents,24.63,0.32,0.0130,THS Standard - no free shipping,General profile
HLNK-20222,heatlink-3-4-x-20-blue-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,24.57,13.14,0.5348,THS Freight & Oversize,THS Standard - no free shipping
HLNK-20222BW,heatlink-3-4-x-20-blue-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,24.57,13.14,0.5348,THS Freight & Oversize,THS Standard - no free shipping
HLNK-21222,heatlink-3-4-x-20-red-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,24.57,13.14,0.5348,THS Freight & Oversize,THS Standard - no free shipping
HLNK-21222RW,heatlink-3-4-x-20-red-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,24.57,13.14,0.5348,THS Freight & Oversize,THS Standard - no free shipping
MPEX-3610002,for-1-1-4-brass-manifolds-basic-end-cap-1-bsp,Manifolds (Radiant Heating),24.05,0.80,0.0333,THS Standard - no free shipping,General profile
JOMA-150-104G,3-4-fip-full-port-2-piece-threaded-connection-600-wog,FIP Ball Valves,23.98,0.70,0.0292,THS Standard - no free shipping,General profile
VEGA-11500,viega-3-4-x-20-red-stripe-on-black-o2-barrier-pex-tubing,Barrier Tubing,23.80,14.79,0.6213,THS Freight & Oversize,THS Standard - no free shipping
BRAS-OR07X-C,1-2-x-1-4-angle-stop-fip-x-comp-chrome,Stops,23.73,0.22,0.0093,THS Standard - no free shipping,General profile
SIOU-250-11A,1-1-2-abs-turbovent-with-adapter,Auto Vents,23.54,0.33,0.0140,THS Standard - no free shipping,General profile
JOMA-150-114G,3-4-sweat-full-port-2-piece-solder-connectiopn-600-wog,Sweat Ball Valves,23.43,0.68,0.0290,THS Standard - no free shipping,General profile
MILW-49-25-1261,1-3-4-bi-metal-multi-material-universal-fit-oscillating-multi-tool-blade-1-pack,Oscillating Blades & Accessories,23.27,0.73,0.0314,THS Standard - no free shipping,General profile
MILW-MNM1-600,1-insulated-cable-staples,Consumables,23.17,0.73,0.0315,THS Standard - no free shipping,General profile
MOEN-AT2199BN,moen-2-5-in-shower-arm-flange-in-brushed-nickel,Shower Arms,23.01,0.08,0.0035,THS Standard - no free shipping,General profile
MILW-48-73-2075,over-the-glasses-tinted-dual-coat-lenses,Eye Protection,22.71,0.73,0.0321,THS Standard - no free shipping,General profile
GERB-D481136,6-showerarm-w-escutcheon-chrome,Shower Arms,22.68,0.50,0.0220,THS Standard - no free shipping,General profile
IPSC-87003,22-id-x-24-od-pan-aluminum-water-heater-pan-1-x-1-1-2-pvc-drain-connection,Water Heater Pans,22.65,2.00,0.0883,THS Freight & Oversize,THS Standard - no free shipping
JOMA-SS-430,snap-n-seal-stainless-basket-strainer,Basket Strainers,22.41,0.69,0.0308,THS Standard - no free shipping,General profile
BRAS-SCR19X-C,1-2-x-3-8-angle-stop-key-comp-x-comp-chrome-bras-scr19x-c,Stops,21.96,0.30,0.0137,THS Standard - no free shipping,General profile
MILW-49-25-1231,1-3-8-bi-metal-multi-material-universal-fit-oscillating-multi-tool-blade-1-pack,Oscillating Blades & Accessories,21.81,0.73,0.0335,THS Standard - no free shipping,General profile
MOEN-140690,moen-tub-drain-rough-in-kit-moen-140690,Tub Drains,21.78,1.29,0.0595,THS Freight & Oversize,THS Standard - no free shipping
DIAB-DHS375XT6,5-1-2-x-3-8-universal-extension-for-drills,Hole Saw Bits & Accessories,21.72,0.73,0.0336,THS Standard - no free shipping,General profile
IPSC-87000,20-id-x-22-od-pan-aluminum-water-heater-pan-1-x-1-1-2-pvc-drain-connection,Water Heater Pans,21.41,1.60,0.0747,THS Freight & Oversize,THS Standard - no free shipping
IPSC-87001,20-id-x-22-od-pan-aluminum-water-heater-pan-1-x-1-1-2-no-drain-connection,Water Heater Pans,21.41,1.60,0.0747,THS Freight & Oversize,THS Standard - no free shipping
SIOU-963-HTL-FE32,floweasy-liquid-drain-cleaner-1-quart-bottle,Miscellaneous Tools,21.33,0.33,0.0155,THS Standard - no free shipping,General profile
SIOU-645WG4,1-pex-f1960-coupling-brass,F1960 Expansion Fittings,21.00,0.05,0.0024,THS Standard - no free shipping,General profile
BRAS-OCR39X-C,1-2-x-1-2-angle-stop-comp-x-comp-chrome,Stops,20.59,0.27,0.0131,THS Standard - no free shipping,General profile
MILW-48-38-0010,copper-tubing-cutter-wheel-2-pack,Tube Cutters (M12),20.19,0.07,0.0035,THS Standard - no free shipping,General profile
BRAS-G2PS09X-C,1-2-x-1-4-angle-stop-push-x-comp-chrome,Stops,20.05,0.25,0.0125,THS Standard - no free shipping,General profile
SIOU-643WG4,1-pex-f1960-female-sweat-adapter-brass,F1960 Expansion Fittings,20.05,0.05,0.0025,THS Standard - no free shipping,General profile
VEGA-35745,3-4-x-20-straight-pex-x-pex-0-097-thickness-100-psi-lead-free-black-blended-cross-linked-polyethylene-barrier-tubing,Accessesories & Tools,19.89,8.46,0.4254,THS Freight & Oversize,THS Standard - no free shipping
LEGE-301-106NL,1-1-4-fip-x-sweat-no-lead-forged-brass-forged-steel-dielectric-union,Dielectric Fittings,19.79,0.60,0.0303,THS Standard - no free shipping,General profile
SIOU-240-455206C32,1-1-4-x-6-slip-joint-ext-t-p-chr-20ga,Extension Tube,19.38,0.16,0.0083,THS Standard - no free shipping,General profile
SIOU-647WG2E3,1-2-pex-f1960-x-fip-drop-ear-elbow-brass,F1960 Expansion Fittings,19.30,0.05,0.0026,THS Standard - no free shipping,General profile
PASC-956,2-closet-spud-w-brass-nut,Toilet Repair Parts & Accessories,19.09,0.62,0.0325,THS Standard - no free shipping,General profile
SIOU-645XC4,1-pex-f1807-to-cpvc-adapter,F1807 Crimp Fittings,18.39,0.30,0.0163,THS Standard - no free shipping,General profile
MOEN-116651,moen-6-in-straight-shower-arm-in-chrome,Shower Arms,18.18,0.50,0.0275,THS Standard - no free shipping,General profile
MILW-48-28-1010,6-in-x-1-4-in-universal-quik-lok-extension,Hole Saw Bits & Accessories,18.03,0.25,0.0139,THS Standard - no free shipping,General profile
SIOU-240-705212C25,1-1-4-x-12-threaded-both-ends-tube-20ga,Extension Tube,17.92,0.16,0.0089,THS Standard - no free shipping,General profile
FLUI-AP-0808,access-panel-8-x-8,Access Panels,17.67,0.58,0.0328,THS Standard - no free shipping,General profile
WEBS-H-74000,replacement-vent-assembly-for-air-seperator-3-4-to-2,Air Separators,17.62,0.50,0.0284,THS Standard - no free shipping,General profile
WEBS-H-40702W,1-2-fip-full-port-ball-valve-lf,FIP Ball Valves,17.50,0.39,0.0223,THS Standard - no free shipping,General profile
WEBS-H-50702W,1-2-sweat-full-port-ball-valve-lf,Sweat Ball Valves,17.50,0.51,0.0291,THS Standard - no free shipping,General profile
SIOU-645WG3P,3-4-f1960-x-3-4-pvc-adapter,F1960 Expansion Fittings,17.36,0.05,0.0029,THS Standard - no free shipping,General profile
DELT-RP63136,delta-diverter-assembly-kit-chen,Faucet & Tap Parts & Accessories,17.14,0.52,0.0303,THS Standard - no free shipping,General profile
BRAS-WB00-18N,3-4-x-3-4-water-heater-supplies-18-fip-x-fip-copper,Water Heater Connectors,16.95,0.52,0.0307,THS Standard - no free shipping,General profile
MPEX-1621040,mr-pex-1-2-x-20-white-potable-pex-a-tubing,Non-Barrier Tubing,16.84,13.14,0.7803,THS Freight & Oversize,THS Standard - no free shipping
MPEX-1721040,mr-pex-1-2-x-20-red-potable-pex-a-tubing,Non-Barrier Tubing,16.84,13.14,0.7803,THS Freight & Oversize,THS Standard - no free shipping
MPEX-1821040,mr-pex-1-2-x-20-blue-potable-pex-a-tubing,Non-Barrier Tubing,16.84,13.14,0.7803,THS Freight & Oversize,THS Standard - no free shipping
SIOU-644WG23,1-2-x-3-4-pex-f1960-male-sweat-adapter-brass,F1960 Expansion Fittings,16.82,0.05,0.0030,THS Standard - no free shipping,General profile
VEGA-33045,viega-3-4-x-20-white-pureflow-pex-tubing,Non-Barrier Tubing,16.60,9.08,0.5467,THS Freight & Oversize,THS Standard - no free shipping
VEGA-33145,viega-3-4-x-20-red-pureflow-pex-tubing,Non-Barrier Tubing,16.60,9.08,0.5467,THS Freight & Oversize,THS Standard - no free shipping
VEGA-33265,viega-3-4-x-20-blue-pureflow-pex-tubing,Non-Barrier Tubing,16.60,9.08,0.5467,THS Freight & Oversize,THS Standard - no free shipping
MOEN-140715,moen-wirsbo-pex-transition-fittings,Faucet & Tap Parts & Accessories,16.52,0.19,0.0115,THS Standard - no free shipping,General profile
CHEM-150-FA,1-1-2-female-adapter-fip-x-hub-cpvc-chemical-drainage-fitting,ChemDrain Fittings,16.42,0.52,0.0317,THS Standard - no free shipping,General profile
DELT-RP74816,delta-trinsic-test-plug-floor-mount-tub-filler,Tub & Shower Repair Parts,16.16,80.00,4.9505,THS Freight & Oversize,THS Standard - no free shipping
MOEN-103462,moen-monticello-installation-tool,Faucet & Tap Parts & Accessories,16.04,0.52,0.0324,THS Standard - no free shipping,General profile
S&DF-P400-ST45-S,4-1-8-bend-45-elbow-street-solvent-weld-sewer-drain-fitting,Sewer & Drain Fittings,16.00,0.49,0.0306,THS Standard - no free shipping,General profile
T&SB-000811-25,spindle-hot-right-to-close-for-eterna-cartridge-018l,Faucet & Tap Parts & Accessories,15.98,0.52,0.0325,THS Standard - no free shipping,General profile
T&SB-000812-25,spindle-cold-left-to-close-for-eterna-cartridge-067l,Faucet & Tap Parts & Accessories,15.98,0.52,0.0325,THS Standard - no free shipping,General profile
DELT-RP22734,delta-bonnet,Faucet & Tap Parts & Accessories,15.93,0.11,0.0069,THS Standard - no free shipping,General profile
DIAB-DHS1500,1-1-2-bi-metal-hole-saw,Bi-Metal Hole Saws,15.93,0.49,0.0308,THS Standard - no free shipping,General profile
PVCF-050-90EL-SCH80,1-2-pvc-sch80-90-elbow-socket-x-socket,PVC SCH 80 Fittings,15.75,0.52,0.0330,THS Standard - no free shipping,General profile
JOMA-150-103G,1-2-fip-full-port-2-piece-threaded-connection-600-wog,FIP Ball Valves,15.71,0.45,0.0286,THS Standard - no free shipping,General profile
DIAB-DHS1375,1-3-8-bi-metal-hole-saw,Bi-Metal Hole Saws,15.64,0.49,0.0313,THS Standard - no free shipping,General profile
MOEN-10089,moen-stop-tube-kit-chrome,Faucet & Tap Parts & Accessories,15.57,0.52,0.0334,THS Standard - no free shipping,General profile
SIOU-632WG222M,1-2-pex-f1960-mip-adapter-elbow-brass,F1960 Expansion Fittings,15.23,0.25,0.0164,THS Standard - no free shipping,General profile
SHAR-25406A,10-x-2-silicone-wrap,Push Fittings,15.09,0.33,0.0219,THS Freight & Oversize,General profile
DIAB-DHS1250,1-1-4-bi-metal-hole-saw,Bi-Metal Hole Saws,15.02,0.49,0.0326,THS Standard - no free shipping,General profile
SSTN-125-2.5,1-1-4-x-2-1-2-304-stainless-steel-pipe-nipple-schedule-40-mnpt-x-mnpt,Stainless Steel Nipples,15.02,0.50,0.0333,THS Standard - no free shipping,General profile
BRAS-OR12X-C,1-2-x-3-8-straight-stop-fip-x-comp-chrome,Stops,14.73,0.30,0.0204,THS Standard - no free shipping,General profile
JOMA-150-113G,1-2-sweat-full-port-2-piece-solder-connectiopn-600-wog,Sweat Ball Valves,14.36,0.41,0.0286,THS Standard - no free shipping,General profile
HLNK-20205,heatlink-1-2-x-20-blue-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,14.14,13.14,0.9293,THS Freight & Oversize,THS Standard - no free shipping
HLNK-20205BW,heatlink-1-2-x-20-blue-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,14.14,13.14,0.9293,THS Freight & Oversize,THS Standard - no free shipping
HLNK-21205,heatlink-1-2-x-20-red-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,14.14,13.14,0.9293,THS Freight & Oversize,THS Standard - no free shipping
HLNK-21205RW,heatlink-1-2-x-20-red-purelink-plus-uv-stabilized-pex-a-tubing,Non-Barrier Tubing,14.14,13.14,0.9293,THS Freight & Oversize,THS Standard - no free shipping
ASRP-7381193-200.0070A,3-inch-toilet-tank-flapper-valve-set,Toilet Repair Parts & Accessories,13.88,0.15,0.0108,THS Standard - no free shipping,General profile
FLUI-642,perfect-fit-tank-lvrs-bn,Toilet Repair Parts & Accessories,13.75,0.40,0.0291,THS Standard - no free shipping,General profile
MOEN-163847,moen-aerator,Faucet & Tap Parts & Accessories,13.70,0.03,0.0022,THS Standard - no free shipping,General profile
MILW-48-22-1516,compact-side-slide-utility-knife,Cutting Tools,13.20,0.40,0.0303,THS Standard - no free shipping,General profile
FLUI-641,perfect-fit-tank-lvr-chrome,Toilet Repair Parts & Accessories,13.07,0.40,0.0306,THS Standard - no free shipping,General profile
SIOU-972-100,tub-spout-seal-and-escutcheon,Escutcheons,12.95,0.13,0.0100,THS Standard - no free shipping,General profile
JOMA-104-523PG,1-2-f1960-standard-port-2-piece-expansion-pex-connection-400-wog,F1960 (Expansion) Ball Valves,12.84,0.33,0.0257,THS Standard - no free shipping,General profile
CMPF-058.038-MA-NL,5-8-x-3-8-compression-male-adapter,Compression Fittings,12.81,0.09,0.0070,THS Standard - no free shipping,General profile
DELT-RP188,delta-cam-assembly-knob-handle,Faucet & Tap Parts & Accessories,12.69,0.04,0.0032,THS Standard - no free shipping,General profile
PASC-960,1-1-4-closet-spud-w-brass-nut,Toilet Repair Parts & Accessories,12.54,0.41,0.0327,THS Standard - no free shipping,General profile
SIOU-645X3P,3-4-pex-pvc-adapter-crimp-f1807-x-pvc-copper,F1807 Crimp Fittings,12.46,0.06,0.0048,THS Standard - no free shipping,General profile
DELT-RP62734,delta-universal-flow-regulator-washer-handshower,Faucet & Tap Parts & Accessories,12.42,0.02,0.0016,THS Standard - no free shipping,General profile
MILW-48-22-1500,fastback-compact-folding-utility-knife,Cutting Tools,12.32,0.40,0.0325,THS Standard - no free shipping,General profile
BRAS-G2CR14X-C,1-2-x-1-4-straight-stop-comp-x-comp-chrome,Stops,12.20,0.27,0.0221,THS Standard - no free shipping,General profile
TOTO-THU651N,toto-usa-seat-top-mounting-hardware-for-aquia-iv-1g-cst446cumg-0-8-1-gpf-elongated-dual-flush-toilet,Toilet Repair Parts & Accessories,12.15,0.10,0.0082,THS Standard - no free shipping,General profile
PASC-1186,8-brass-shower-arm-chrome-plated,Miscellaneous Tools,11.83,0.37,0.0313,THS Standard - no free shipping,General profile
BRAS-CT2-664XP,3-8-x-3-8-x-1-4-tee-comp-rough-brass,Stops,11.69,0.20,0.0171,THS Standard - no free shipping,General profile
FLUI-640,perfect-fit-tank-lvr-wht,Toilet Repair Parts & Accessories,11.50,0.30,0.0261,THS Standard - no free shipping,General profile
AQUF-WCS-118-PP,3-4-x-18-fip-x-fip-stainless-steel-corrugated-water-heater-connectors,Water Heater Connectors,11.48,0.38,0.0331,THS Standard - no free shipping,General profile
