Handle,Command,Title,Body HTML,Vendor,Type,Tags,Status,Published,SEO Description,Variant Command,Variant SKU,Variant Price,Variant Barcode,Variant Weight,Variant Weight Unit,Variant Inventory Tracker,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Variant Country of Origin
resideo-t100r1012-non-electric-thermostatic-operator-for-v135-valve-86158f-6-ft-8-in-capillary,NEW,"Resideo T100R1012 Non-Electric Thermostatic Operator for V135 Valve, 86–158°F, 6 ft 8 in Capillary","<p>Non-electric thermostatic operator for the V135 valve with a remote capillary, a sensing bulb that straps onto the pipe and an adjustable 86–158°F range.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T100R1012</li><li><strong>Fits:</strong> V135 valve</li><li><strong>Temperature Range:</strong> 86–158°F, adjustable</li><li><strong>Capillary Length:</strong> 6 ft 8 in</li><li><strong>Sensor:</strong> Remote bulb, straps onto pipe</li><li><strong>UPC:</strong> 085267814225</li><li><strong>Country of Origin:</strong> DE</li><li><strong>Category:</strong> Thermostatic Radiator Controls &amp; Valves</li></ul>",Resideo,Thermostatic Radiator Controls & Valves,"Resideo, Thermostatic Radiator Controls & Valves, map-import-2609",Draft,FALSE,"Non-electric thermostatic operator for the V135 valve with a remote capillary, a sensing bulb that straps onto the pipe and an adjustable 86–158°F range.",MERGE,HONE-T100R1012,175.23,085267814225,0.4,lb,shopify,deny,TRUE,TRUE,DE
resideo-t104b1038-thermostatic-radiator-controller-with-remote-sensing-and-setpoint-6-ft-8-in-capillary,NEW,"Resideo T104B1038 Thermostatic Radiator Controller with Remote Sensing and Setpoint, 6 ft 8 in Capillary",<p>Thermostatic radiator controller with combined remote temperature sensing and setpoint and a 6 ft 8 in capillary.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T104B1038</li><li><strong>Sensing:</strong> Combined remote temperature sensing and setpoint</li><li><strong>Capillary Length:</strong> 6 ft 8 in</li><li><strong>UPC:</strong> 085267087643</li><li><strong>Country of Origin:</strong> DE</li><li><strong>Category:</strong> Thermostatic Radiator Controls &amp; Valves</li></ul>,Resideo,Thermostatic Radiator Controls & Valves,"Resideo, Thermostatic Radiator Controls & Valves, map-import-2609",Draft,FALSE,Thermostatic radiator controller with combined remote temperature sensing and setpoint and a 6 ft 8 in capillary.,MERGE,HONE-T104B1038,153.91,085267087643,0.6,lb,shopify,deny,TRUE,TRUE,DE
resideo-t3019mmaw0-thera-six-thermostatic-head-for-mma-m28,NEW,Resideo T3019MMAW0 Thera Six Thermostatic Head for MMA M28,<p>Thera Six thermostatic head for MMA M28.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T3019MMAW0</li><li><strong>Fits:</strong> MMA M28</li><li><strong>UPC:</strong> 5059087010414</li><li><strong>Country of Origin:</strong> CZ</li><li><strong>Category:</strong> Thermostatic Radiator Controls &amp; Valves</li></ul>,Resideo,Thermostatic Radiator Controls & Valves,"Resideo, Thermostatic Radiator Controls & Valves, map-import-2609, revisar-cadastro",Draft,FALSE,Thera Six thermostatic head for MMA M28.,MERGE,HONE-T3019MMAW0,41.44,5059087010414,0.3,lb,shopify,deny,TRUE,TRUE,CZ
resideo-t822k1018-u-vertical-heat-only-mechanical-thermostat-5090f,NEW,"Resideo T822K1018/U Vertical Heat-Only Mechanical Thermostat, 50–90°F","<p>Vertical heat-only mechanical thermostat with R and W terminals and a 50–90°F scale; no system switch and no fan switch.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T822K1018/U</li><li><strong>Stages:</strong> Heat only</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Terminals:</strong> R, W</li><li><strong>Scale:</strong> 50–90°F</li><li><strong>Switches:</strong> No system switch, no fan switch</li><li><strong>UPC:</strong> 085267271325</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Non-Programmable Thermostats</li></ul>",Resideo,Non-Programmable Thermostats,"Resideo, Non-Programmable Thermostats, map-import-2609",Draft,FALSE,Vertical heat-only mechanical thermostat with R and W terminals and a 50–90°F scale; no system switch and no fan switch.,MERGE,HONE-T822K1018/U,51.41,085267271325,0.3,lb,shopify,deny,TRUE,TRUE,MX
resideo-t822k1034-u-vertical-heat-only-mechanical-thermostat-1032c,NEW,"Resideo T822K1034/U Vertical Heat-Only Mechanical Thermostat, 10–32°C","<p>Vertical heat-only mechanical thermostat with R and W terminals and a 10–32°C scale; no system switch and no fan switch.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T822K1034/U</li><li><strong>Stages:</strong> Heat only</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Terminals:</strong> R, W</li><li><strong>Scale:</strong> 10–32°C</li><li><strong>Switches:</strong> No system switch, no fan switch</li><li><strong>UPC:</strong> 085267271349</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Non-Programmable Thermostats</li></ul>",Resideo,Non-Programmable Thermostats,"Resideo, Non-Programmable Thermostats, map-import-2609",Draft,FALSE,Vertical heat-only mechanical thermostat with R and W terminals and a 10–32°C scale; no system switch and no fan switch.,MERGE,HONE-T822K1034/U,41.54,085267271349,0.3,lb,shopify,deny,TRUE,TRUE,MX
resideo-t822k1042-u-vertical-heat-only-mechanical-garage-thermostat-3585f,NEW,"Resideo T822K1042/U Vertical Heat-Only Mechanical Garage Thermostat, 35–85°F","<p>Vertical heat-only mechanical thermostat for garages with R and W terminals, a 35–85°F scale, and a Heat/Off system switch; no fan switch.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T822K1042/U</li><li><strong>Stages:</strong> Heat only</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Application:</strong> Garages</li><li><strong>Terminals:</strong> R, W</li><li><strong>Scale:</strong> 35–85°F</li><li><strong>System Switch:</strong> Heat/Off</li><li><strong>Fan Switch:</strong> No</li><li><strong>UPC:</strong> 085267136709</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Non-Programmable Thermostats</li></ul>",Resideo,Non-Programmable Thermostats,"Resideo, Non-Programmable Thermostats, map-import-2609",Draft,FALSE,"Vertical heat-only mechanical thermostat for garages with R and W terminals, a 35–85°F scale, and a Heat/Off system switch; no fan switch.",MERGE,HONE-T822K1042/U,51.97,085267136709,0.3,lb,shopify,deny,TRUE,TRUE,MX
resideo-t827k1017-u-vertical-heat-only-mechanical-thermostat-12-vdc-or-750-mv-1032c,NEW,"Resideo T827K1017/U Vertical Heat-Only Mechanical Thermostat, 12 VDC or 750 mV, 10–32°C","<p>Vertical heat-only 12 VDC or 750 mV mechanical thermostat with R and W terminals, a 10–32°C scale, and a Heat/Off system switch; no fan switch.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T827K1017/U</li><li><strong>Stages:</strong> Heat only</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Voltage:</strong> 12 VDC or 750 mV</li><li><strong>Terminals:</strong> R, W</li><li><strong>Scale:</strong> 10–32°C</li><li><strong>System Switch:</strong> Heat/Off</li><li><strong>Fan Switch:</strong> No</li><li><strong>UPC:</strong> 085267275590</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Non-Programmable Thermostats</li></ul>",Resideo,Non-Programmable Thermostats,"Resideo, Non-Programmable Thermostats, map-import-2609",Draft,FALSE,"Vertical heat-only 12 VDC or 750 mV mechanical thermostat with R and W terminals, a 10–32°C scale, and a Heat/Off system switch; no fan switch.",MERGE,HONE-T827K1017/U,47.64,085267275590,0.3,lb,shopify,deny,TRUE,TRUE,MX
resideo-t834n1010-u-vertical-1-heat-1-cool-mechanical-thermostat-1032c,NEW,"Resideo T834N1010/U Vertical 1 Heat/1 Cool Mechanical Thermostat, 10–32°C","<p>Vertical 1 heat/1 cool mechanical thermostat with R, RC, G, Y, W, O, B terminals, a 10–32°C scale, Heat/Off/Cool system switch, and Auto/On fan switch.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T834N1010/U</li><li><strong>Stages:</strong> 1 heat/1 cool</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Terminals:</strong> R, RC, G, Y, W, O, B</li><li><strong>Scale:</strong> 10–32°C</li><li><strong>System Switch:</strong> Heat/Off/Cool</li><li><strong>Fan Switch:</strong> Auto/On</li><li><strong>UPC:</strong> 085267271387</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Non-Programmable Thermostats</li></ul>",Resideo,Non-Programmable Thermostats,"Resideo, Non-Programmable Thermostats, map-import-2609",Draft,FALSE,"Vertical 1 heat/1 cool mechanical thermostat with R, RC, G, Y, W, O, B terminals, a 10–32°C scale, Heat/Off/Cool system switch, and Auto/On fan switch.",MERGE,HONE-T834N1010/U,51.61,085267271387,0.3,lb,shopify,deny,TRUE,TRUE,MX
resideo-t87k1007-u-t87-heat-only-thermostat-4090f-premier-white,NEW,"Resideo T87K1007/U T87 Heat-Only Thermostat, 40–90°F, Premier White",<p>T87 heat-only thermostat with a 40–90°F scaleplate in Premier White.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T87K1007/U</li><li><strong>Stages:</strong> Heat only</li><li><strong>Scale:</strong> 40–90°F</li><li><strong>Color:</strong> Premier White</li><li><strong>UPC:</strong> 085267263597</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Non-Programmable Thermostats</li></ul>,Resideo,Non-Programmable Thermostats,"Resideo, Non-Programmable Thermostats, map-import-2609",Draft,FALSE,T87 heat-only thermostat with a 40–90°F scaleplate in Premier White.,MERGE,HONE-T87K1007/U,53.86,085267263597,0.3,lb,shopify,deny,TRUE,TRUE,MX
resideo-t87k1015-u-t87-heat-only-thermostat-532c-premier-white,NEW,"Resideo T87K1015/U T87 Heat-Only Thermostat, 5–32°C, Premier White",<p>T87 heat-only thermostat with a 5–32°C scaleplate in Premier White.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T87K1015/U</li><li><strong>Stages:</strong> Heat only</li><li><strong>Scale:</strong> 5–32°C</li><li><strong>Color:</strong> Premier White</li><li><strong>UPC:</strong> 085267263603</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Non-Programmable Thermostats</li></ul>,Resideo,Non-Programmable Thermostats,"Resideo, Non-Programmable Thermostats, map-import-2609",Draft,FALSE,T87 heat-only thermostat with a 5–32°C scaleplate in Premier White.,MERGE,HONE-T87K1015/U,64.26,085267263603,0.3,lb,shopify,deny,TRUE,TRUE,MX
resideo-t87n1000-u-t87-1-heat-1-cool-thermostat-4090f-premier-white,NEW,"Resideo T87N1000/U T87 1 Heat/1 Cool Thermostat, 40–90°F, Premier White",<p>T87 1 heat/1 cool thermostat with a 40–90°F scaleplate in Premier White.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T87N1000/U</li><li><strong>Stages:</strong> 1 heat/1 cool</li><li><strong>Scale:</strong> 40–90°F</li><li><strong>Color:</strong> Premier White</li><li><strong>UPC:</strong> 085267263610</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Non-Programmable Thermostats</li></ul>,Resideo,Non-Programmable Thermostats,"Resideo, Non-Programmable Thermostats, map-import-2609",Draft,FALSE,T87 1 heat/1 cool thermostat with a 40–90°F scaleplate in Premier White.,MERGE,HONE-T87N1000/U,78.83,085267263610,0.4,lb,shopify,deny,TRUE,TRUE,MX
resideo-t87n1018-u-t87-1-heat-1-cool-thermostat-532c-premier-white,NEW,"Resideo T87N1018/U T87 1 Heat/1 Cool Thermostat, 5–32°C, Premier White",<p>T87 1 heat/1 cool thermostat with a 5–32°C scaleplate in Premier White.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T87N1018/U</li><li><strong>Stages:</strong> 1 heat/1 cool</li><li><strong>Scale:</strong> 5–32°C</li><li><strong>Color:</strong> Premier White</li><li><strong>UPC:</strong> 085267263627</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Non-Programmable Thermostats</li></ul>,Resideo,Non-Programmable Thermostats,"Resideo, Non-Programmable Thermostats, map-import-2609",Draft,FALSE,T87 1 heat/1 cool thermostat with a 5–32°C scaleplate in Premier White.,MERGE,HONE-T87N1018/U,105.93,085267263627,0.4,lb,shopify,deny,TRUE,TRUE,MX
resideo-t87n1026-u-easy-to-see-t87n-1-heat-1-cool-thermostat-4090f-premier-white,NEW,"Resideo T87N1026/U Easy-to-See T87N 1 Heat/1 Cool Thermostat, 40–90°F, Premier White",<p>Easy-to-see T87N 1 heat/1 cool thermostat with a 40–90°F scaleplate in Premier White.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T87N1026/U</li><li><strong>Stages:</strong> 1 heat/1 cool</li><li><strong>Scale:</strong> 40–90°F</li><li><strong>Color:</strong> Premier White</li><li><strong>UPC:</strong> 085267263634</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Non-Programmable Thermostats</li></ul>,Resideo,Non-Programmable Thermostats,"Resideo, Non-Programmable Thermostats, map-import-2609",Draft,FALSE,Easy-to-see T87N 1 heat/1 cool thermostat with a 40–90°F scaleplate in Premier White.,MERGE,HONE-T87N1026/U,98.66,085267263634,0.6,lb,shopify,deny,TRUE,TRUE,MX
resideo-taxv-015-u-taxv-thermal-expansion-tank-7-8-gal-vertical-1-2-in-male-npt-asme,NEW,"Resideo TAXV-015/U TAXV Thermal Expansion Tank, 7.8 gal, Vertical, 1/2 in Male NPT, ASME","<p>TAXV series 7.8 gallon vertical thermal expansion tank with 1/2 in male NPT connection, ASME construction, for closed heating systems only.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-015/U</li><li><strong>Capacity:</strong> 7.8 gal</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Connection:</strong> 1/2 in male NPT</li><li><strong>Application:</strong> Closed heating only</li><li><strong>Construction:</strong> ASME</li><li><strong>UPC:</strong> 085267829229</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>",Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609, revisar-cadastro",Draft,FALSE,"TAXV series 7.8 gallon vertical thermal expansion tank with 1/2 in male NPT connection, ASME construction, for closed heating systems only.",MERGE,HONE-TAXV-015/U,2080.09,085267829229,43.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-020-u-taxv-thermal-expansion-tank-10-9-gal-vertical-1-2-in-male-npt-asme,NEW,"Resideo TAXV-020/U TAXV Thermal Expansion Tank, 10.9 gal, Vertical, 1/2 in Male NPT, ASME","<p>TAXV series 10.9 gallon vertical thermal expansion tank with 1/2 in male NPT connection, ASME construction, for closed heating systems only.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-020/U</li><li><strong>Capacity:</strong> 10.9 gal</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Connection:</strong> 1/2 in male NPT</li><li><strong>Application:</strong> Closed heating only</li><li><strong>Construction:</strong> ASME</li><li><strong>UPC:</strong> 085267829236</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>",Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609, revisar-cadastro",Draft,FALSE,"TAXV series 10.9 gallon vertical thermal expansion tank with 1/2 in male NPT connection, ASME construction, for closed heating systems only.",MERGE,HONE-TAXV-020/U,2113.56,085267829236,45.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-040-u-taxv-thermal-expansion-tank-21-7-gal-vertical-1-2-in-male-npt-asme,NEW,"Resideo TAXV-040/U TAXV Thermal Expansion Tank, 21.7 gal, Vertical, 1/2 in Male NPT, ASME","<p>TAXV series 21.7 gallon vertical thermal expansion tank with 1/2 in male NPT connection, ASME construction, for closed heating systems only.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-040/U</li><li><strong>Capacity:</strong> 21.7 gal</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Connection:</strong> 1/2 in male NPT</li><li><strong>Application:</strong> Closed heating only</li><li><strong>Construction:</strong> ASME</li><li><strong>UPC:</strong> 085267829243</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>",Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609, revisar-cadastro",Draft,FALSE,"TAXV series 21.7 gallon vertical thermal expansion tank with 1/2 in male NPT connection, ASME construction, for closed heating systems only.",MERGE,HONE-TAXV-040/U,2970.00,085267829243,90.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-060-u-taxv-thermal-expansion-tank-33-6-gal-vertical-1-2-in-male-npt-asme,NEW,"Resideo TAXV-060/U TAXV Thermal Expansion Tank, 33.6 gal, Vertical, 1/2 in Male NPT, ASME","<p>TAXV series 33.6 gallon vertical thermal expansion tank with 1/2 in male NPT connection, ASME construction, for closed heating systems only.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-060/U</li><li><strong>Capacity:</strong> 33.6 gal</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Connection:</strong> 1/2 in male NPT</li><li><strong>Application:</strong> Closed heating only</li><li><strong>Construction:</strong> ASME</li><li><strong>UPC:</strong> 085267829250</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>",Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609, revisar-cadastro",Draft,FALSE,"TAXV series 33.6 gallon vertical thermal expansion tank with 1/2 in male NPT connection, ASME construction, for closed heating systems only.",MERGE,HONE-TAXV-060/U,2170.09,085267829250,110.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-080-u-taxv-thermal-expansion-tank-44-4-gal-vertical-1-2-in-male-npt-asme,NEW,"Resideo TAXV-080/U TAXV Thermal Expansion Tank, 44.4 gal, Vertical, 1/2 in Male NPT, ASME","<p>TAXV series 44.4 gallon vertical thermal expansion tank with 1/2 in male NPT connection, ASME construction, for closed heating systems only.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-080/U</li><li><strong>Capacity:</strong> 44.4 gal</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Connection:</strong> 1/2 in male NPT</li><li><strong>Application:</strong> Closed heating only</li><li><strong>Construction:</strong> ASME</li><li><strong>UPC:</strong> 085267829267</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>",Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609, revisar-cadastro",Draft,FALSE,"TAXV series 44.4 gallon vertical thermal expansion tank with 1/2 in male NPT connection, ASME construction, for closed heating systems only.",MERGE,HONE-TAXV-080/U,2809.54,085267829267,146.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-100-u-taxv-vertical-expansion-tank-asme-125-psig,NEW,"Resideo TAXV-100/U TAXV Vertical Expansion Tank, ASME, 125 psig","<p>TAXV vertical expansion tank, ASME, rated 125 psig.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-100/U</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Construction:</strong> ASME</li><li><strong>Pressure Rating:</strong> 125 psig</li><li><strong>UPC:</strong> 085267829274</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>",Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609, revisar-cadastro",Draft,FALSE,"TAXV vertical expansion tank, ASME, rated 125 psig.",MERGE,HONE-TAXV-100/U,3156.36,085267829274,167.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-120-u-taxv-vertical-expansion-tank-68-gal-asme,NEW,"Resideo TAXV-120/U TAXV Vertical Expansion Tank, 68 gal, ASME",<p>68 gallon ASME vertical expansion tank.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-120/U</li><li><strong>Capacity:</strong> 68 gal</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Construction:</strong> ASME</li><li><strong>UPC:</strong> 085267829281</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>,Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609, revisar-cadastro",Draft,FALSE,68 gallon ASME vertical expansion tank.,MERGE,HONE-TAXV-120/U,3439.84,085267829281,224.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-144-u-taxv-thermal-expansion-tank-70-gal-vertical-1-in-male-npt-asme,NEW,"Resideo TAXV-144/U TAXV Thermal Expansion Tank, 70 gal, Vertical, 1 in Male NPT, ASME","<p>TAXV series 70 gallon vertical thermal expansion tank with 1 in male NPT connection, ASME construction, for closed heating systems only.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-144/U</li><li><strong>Capacity:</strong> 70 gal</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Connection:</strong> 1 in male NPT</li><li><strong>Application:</strong> Closed heating only</li><li><strong>Construction:</strong> ASME</li><li><strong>UPC:</strong> 085267829298</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>",Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609, revisar-cadastro",Draft,FALSE,"TAXV series 70 gallon vertical thermal expansion tank with 1 in male NPT connection, ASME construction, for closed heating systems only.",MERGE,HONE-TAXV-144/U,5257.17,085267829298,249.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-180-u-taxv-thermal-expansion-tank-90-gal-vertical-1-in-male-npt-asme,NEW,"Resideo TAXV-180/U TAXV Thermal Expansion Tank, 90 gal, Vertical, 1 in Male NPT, ASME","<p>TAXV series 90 gallon vertical thermal expansion tank with 1 in male NPT connection, ASME construction, for closed heating systems only.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-180/U</li><li><strong>Capacity:</strong> 90 gal</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Connection:</strong> 1 in male NPT</li><li><strong>Application:</strong> Closed heating only</li><li><strong>Construction:</strong> ASME</li><li><strong>UPC:</strong> 085267829304</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>",Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609, revisar-cadastro",Draft,FALSE,"TAXV series 90 gallon vertical thermal expansion tank with 1 in male NPT connection, ASME construction, for closed heating systems only.",MERGE,HONE-TAXV-180/U,5616.34,085267829304,266.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-200-u-taxv-series-thermal-expansion-tank-110-gallon-vertical-1-in-male-npt,NEW,"Resideo TAXV-200/U TAXV Series Thermal Expansion Tank, 110 Gallon Vertical, 1 in Male NPT","<p>TAXV Series vertical thermal expansion tank with 110-gallon capacity and a 1 in male NPT connection, ASME construction, for closed heating systems only.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-200/U</li><li><strong>Series:</strong> TAXV</li><li><strong>Capacity:</strong> 110 gal</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Connection:</strong> 1 in male NPT</li><li><strong>Application:</strong> Closed heating only</li><li><strong>Construction:</strong> ASME</li><li><strong>UPC:</strong> 085267829311</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>",Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609",Draft,FALSE,"TAXV Series vertical thermal expansion tank with 110-gallon capacity and a 1 in male NPT connection, ASME construction, for closed heating systems only.",MERGE,HONE-TAXV-200/U,3415.90,085267829311,296.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-240-u-taxv-series-thermal-expansion-tank-132-gallon-vertical-1-in-male-npt,NEW,"Resideo TAXV-240/U TAXV Series Thermal Expansion Tank, 132 Gallon Vertical, 1 in Male NPT","<p>TAXV Series vertical thermal expansion tank with 132-gallon capacity and a 1 in male NPT connection, ASME construction, for closed heating systems only.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-240/U</li><li><strong>Series:</strong> TAXV</li><li><strong>Capacity:</strong> 132 gal</li><li><strong>Orientation:</strong> Vertical</li><li><strong>Connection:</strong> 1 in male NPT</li><li><strong>Application:</strong> Closed heating only</li><li><strong>Construction:</strong> ASME</li><li><strong>UPC:</strong> 085267829328</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>",Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609",Draft,FALSE,"TAXV Series vertical thermal expansion tank with 132-gallon capacity and a 1 in male NPT connection, ASME construction, for closed heating systems only.",MERGE,HONE-TAXV-240/U,7036.11,085267829328,427.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-260-u-taxv-series-thermal-expansion-tank,NEW,Resideo TAXV-260/U TAXV Series Thermal Expansion Tank,<p>TAXV Series thermal expansion tank.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-260/U</li><li><strong>Series:</strong> TAXV</li><li><strong>UPC:</strong> 194159007796</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>,Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609, revisar-cadastro",Draft,FALSE,TAXV Series thermal expansion tank.,MERGE,HONE-TAXV-260/U,7448.90,194159007796,0.0,lb,shopify,deny,TRUE,TRUE,US
resideo-taxv-280-u-taxv-series-thermal-expansion-tank,NEW,Resideo TAXV-280/U TAXV Series Thermal Expansion Tank,<p>TAXV Series thermal expansion tank.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TAXV-280/U</li><li><strong>Series:</strong> TAXV</li><li><strong>UPC:</strong> 085267510851</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> System Fill Tanks &amp; Autofills</li></ul>,Resideo,System Fill Tanks & Autofills,"Resideo, System Fill Tanks & Autofills, map-import-2609, revisar-cadastro",Draft,FALSE,TAXV Series thermal expansion tank.,MERGE,HONE-TAXV-280/U,7945.66,085267510851,0.0,lb,shopify,deny,TRUE,TRUE,US
