Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,titulo
1-8-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-018-CLS,0.018,lb,580-001,0.02,0.018,1.11,"Mueller Streamline 580-001 1/8"" x Close - Black Iron Nipple"
1-1-4-x-1-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-125.100.100-TEE-G,1.054,lb,510-655,1.17,1.054,1.11,"Mueller Streamline 510-655 1-1/4"" x 1"" x 1"" - Galvanized Tee"
2-x-1-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-200.100-CPL-G,1.181,lb,511-385,1.31,1.181,1.11,"Mueller Streamline 511-385 2"" x 1"" - Galvanized Reducing Coupling"
1-1-4-black-iron-cap,UPDATE,UPDATE,BLIF-125-CAP,0.463,lb,521-406,0.51,0.463,1.1,"Mueller Streamline 521-406 1-1/4"" Black Iron Cap"
1-1-4-galvanized-cap,UPDATE,UPDATE,GAIF-125-CAP-G,0.463,lb,511-406,0.51,0.463,1.1,"Mueller Streamline 511-406 1-1/4"" - Galvanized Cap"
1-1-2-x-1-1-4-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-150.125.100-TEE,1.248,lb,520-768,1.36,1.248,1.09,"Mueller Streamline 520-768 1-1/2"" x 1-1/4"" x 1"" Black Iron Tee"
3-galvanized-tee,UPDATE,UPDATE,GAIF-300-TEE-G,6.812,lb,510-610,7.41,6.812,1.09,"Mueller Streamline 510-610 3"" - Galvanized Tee"
3-8-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-038-CLS,0.046,lb,562-001,0.05,0.046,1.09,"Mueller Streamline 562-001 3/8"" x Close - Galvanized Nipple"
3-black-iron-elbow-90,UPDATE,UPDATE,BLIF-300-90EL,4.872,lb,520-010,4.46,4.872,0.92,"Mueller Streamline 520-010 3"" Black Iron Elbow - 90°"
3-4-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-075-3,0.284,lb,584-030,0.26,0.284,0.92,"Mueller Streamline 584-030 3/4"" x 3"" - Black Iron Nipple"
1-1-4-x-3-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-125-3.5,0.664,lb,586-035,0.61,0.664,0.92,"Mueller Streamline 586-035 1-1/4"" x 3-1/2"" - Black Iron Nipple"
4-x-4-black-iron-nipple,UPDATE,UPDATE,BLPN-400-4,3.6,lb,591-040,3.3,3.6,0.92,"Mueller Streamline 591-040 4"" x 4"" - Black Iron Nipple"
3-4-x-4-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-075-4.5,0.426,lb,564-045,0.39,0.426,0.92,"Mueller Streamline 564-045 3/4"" x 4-1/2"" - Galvanized Nipple"
1-x-4-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-100-4.5,0.631,lb,565-045,0.58,0.631,0.92,"Mueller Streamline 565-045 1"" x 4-1/2"" - Galvanized Nipple"
1-1-4-x-5-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-125-5.5,1.045,lb,566-055,0.96,1.045,0.92,"Mueller Streamline 566-055 1-1/4"" x 5-1/2"" - Galvanized Nipple"
1-1-4-black-iron-tee,UPDATE,UPDATE,BLIF-125-TEE,1.243,lb,520-606,1.13,1.243,0.91,"Mueller Streamline 520-606 1-1/4"" Black Iron Tee"
1-4-x-2-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-025-2.5,0.088,lb,581-025,0.08,0.088,0.91,"Mueller Streamline 581-025 1/4"" x 2-1/2"" - Black Iron Nipple"
1-4-x-5-black-iron-nipple,UPDATE,UPDATE,BLPN-025-5,0.176,lb,581-050,0.16,0.176,0.91,"Mueller Streamline 581-050 1/4"" x 5"" - Black Iron Nipple"
3-8-x-3-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-038-3.5,0.165,lb,582-035,0.15,0.165,0.91,"Mueller Streamline 582-035 3/8"" x 3-1/2"" - Black Iron Nipple"
3-4-x-3-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-075-3.5,0.331,lb,584-035,0.3,0.331,0.91,"Mueller Streamline 584-035 3/4"" x 3-1/2"" - Black Iron Nipple"
1-1-4-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-125-3,0.569,lb,586-030,0.52,0.569,0.91,"Mueller Streamline 586-030 1-1/4"" x 3"" - Black Iron Nipple"
1-1-2-x-3-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-150-3.5,0.794,lb,587-035,0.72,0.794,0.91,"Mueller Streamline 587-035 1-1/2"" x 3-1/2"" - Black Iron Nipple"
2-x-3-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-200-3.5,1.067,lb,588-035,0.97,1.067,0.91,"Mueller Streamline 588-035 2"" x 3-1/2"" - Black Iron Nipple"
2-1-2-x-8-black-iron-nipple,UPDATE,UPDATE,BLPN-250-8,3.865,lb,589-080,3.51,3.865,0.91,"Mueller Streamline 589-080 2-1/2"" x 8"" - Black Iron Nipple"
3-x-4-black-iron-nipple,UPDATE,UPDATE,BLPN-300-4,2.529,lb,590-040,2.3,2.529,0.91,"Mueller Streamline 590-040 3"" x 4"" - Black Iron Nipple"
4-x-4-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-400-4.5,4.05,lb,591-045,3.7,4.05,0.91,"Mueller Streamline 591-045 4"" x 4-1/2"" - Black Iron Nipple"
4-x-5-black-iron-nipple,UPDATE,UPDATE,BLPN-400-5,4.5,lb,591-050,4.1,4.5,0.91,"Mueller Streamline 591-050 4"" x 5"" - Black Iron Nipple"
4-x-5-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-400-5.5,4.949,lb,591-055,4.5,4.949,0.91,"Mueller Streamline 591-055 4"" x 5-1/2"" - Black Iron Nipple"
4-x-6-black-iron-nipple,UPDATE,UPDATE,BLPN-400-6,5.399,lb,591-060,4.9,5.399,0.91,"Mueller Streamline 591-060 4"" x 6"" - Black Iron Nipple"
1-1-4-galvanized-tee,UPDATE,UPDATE,GAIF-125-TEE-G,1.243,lb,510-606,1.13,1.243,0.91,"Mueller Streamline 510-606 1-1/4"" - Galvanized Tee"
1-2-x-4-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-050-4.5,0.32,lb,563-045,0.29,0.32,0.91,"Mueller Streamline 563-045 1/2"" x 4-1/2"" - Galvanized Nipple"
1-2-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-050-6,0.428,lb,563-060,0.39,0.428,0.91,"Mueller Streamline 563-060 1/2"" x 6"" - Galvanized Nipple"
1-2-x-8-galvanized-nipple,UPDATE,UPDATE,GAPN-050-8,0.569,lb,563-080,0.52,0.569,0.91,"Mueller Streamline 563-080 1/2"" x 8"" - Galvanized Nipple"
1-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-100-4,0.56,lb,565-040,0.51,0.56,0.91,"Mueller Streamline 565-040 1"" x 4"" - Galvanized Nipple"
1-1-4-x-5-galvanized-nipple,UPDATE,UPDATE,GAPN-125-5,0.948,lb,566-050,0.86,0.948,0.91,"Mueller Streamline 566-050 1-1/4"" x 5"" - Galvanized Nipple"
2-x-5-galvanized-nipple,UPDATE,UPDATE,GAPN-200-5,1.523,lb,568-050,1.38,1.523,0.91,"Mueller Streamline 568-050 2"" x 5"" - Galvanized Nipple"
4-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-400-6,5.399,lb,571-060,4.9,5.399,0.91,"Mueller Streamline 571-060 4"" x 6"" - Galvanized Nipple"
1-x-3-4-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-100.075.100-TEE,0.811,lb,520-794,0.73,0.811,0.9,"Mueller Streamline 520-794 1"" x 3/4"" x 1"" Black Iron Tee"
1-1-2-black-iron-tee,UPDATE,UPDATE,BLIF-150-TEE,1.557,lb,520-607,1.4,1.557,0.9,"Mueller Streamline 520-607 1-1/2"" Black Iron Tee"
2-1-2-x-6-black-iron-nipple,UPDATE,UPDATE,BLPN-250-6,2.899,lb,589-060,2.6,2.899,0.9,"Mueller Streamline 589-060 2-1/2"" x 6"" - Black Iron Nipple"
1-x-3-4-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-100.075.100-TEE-G,0.811,lb,510-545,0.73,0.811,0.9,"Mueller Streamline 510-545 1"" x 3/4"" x 1"" - Galvanized Tee"
1-1-2-galvanized-tee,UPDATE,UPDATE,GAIF-150-TEE-G,1.557,lb,510-607,1.4,1.557,0.9,"Mueller Streamline 510-607 1-1/2"" - Galvanized Tee"
1-2-x-5-galvanized-nipple,UPDATE,UPDATE,GAPN-050-5,0.355,lb,563-050,0.32,0.355,0.9,"Mueller Streamline 563-050 1/2"" x 5"" - Galvanized Nipple"
1-x-3-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-100-3.5,0.489,lb,565-035,0.44,0.489,0.9,"Mueller Streamline 565-035 1"" x 3-1/2"" - Galvanized Nipple"
1-1-4-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-125-4,0.758,lb,566-040,0.68,0.758,0.9,"Mueller Streamline 566-040 1-1/4"" x 4"" - Galvanized Nipple"
1-1-2-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-150-6,1.36,lb,567-060,1.23,1.36,0.9,"Mueller Streamline 567-060 1-1/2"" x 6"" - Galvanized Nipple"
1-1-2-black-iron-elbow-90,UPDATE,UPDATE,BLIF-150-90EL,1.096,lb,520-007,0.98,1.096,0.89,"Mueller Streamline 520-007 1-1/2"" Black Iron Elbow - 90°"
1-4-x-3-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-025-3.5,0.124,lb,581-035,0.11,0.124,0.89,"Mueller Streamline 581-035 1/4"" x 3-1/2"" - Black Iron Nipple"
3-8-x-5-black-iron-nipple,UPDATE,UPDATE,BLPN-038-5,0.236,lb,582-050,0.21,0.236,0.89,"Mueller Streamline 582-050 3/8"" x 5"" - Black Iron Nipple"
1-2-x-2-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-050-2.5,0.179,lb,583-025,0.16,0.179,0.89,"Mueller Streamline 583-025 1/2"" x 2-1/2"" - Black Iron Nipple"
1-1-2-x-8-black-iron-nipple,UPDATE,UPDATE,BLPN-150-8,1.814,lb,587-080,1.61,1.814,0.89,"Mueller Streamline 587-080 1-1/2"" x 8"" - Black Iron Nipple"
1-1-2-galvanized-elbow-90,UPDATE,UPDATE,GAIF-150-90EL-G,1.096,lb,510-007,0.98,1.096,0.89,"Mueller Streamline 510-007 1-1/2"" - Galvanized Elbow - 90°"
1-1-4-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-125-6,1.14,lb,566-060,1.02,1.14,0.89,"Mueller Streamline 566-060 1-1/4"" x 6"" - Galvanized Nipple"
2-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-200-4,1.219,lb,568-040,1.09,1.219,0.89,"Mueller Streamline 568-040 2"" x 4"" - Galvanized Nipple"
2-x-4-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-200-4.5,1.371,lb,568-045,1.22,1.371,0.89,"Mueller Streamline 568-045 2"" x 4-1/2"" - Galvanized Nipple"
1-1-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-125-90EL,0.845,lb,520-006,0.74,0.845,0.88,"Mueller Streamline 520-006 1-1/4"" Black Iron Elbow - 90°"
1-1-4-galvanized-elbow-90,UPDATE,UPDATE,GAIF-125-90EL-G,0.845,lb,510-006,0.74,0.845,0.88,"Mueller Streamline 510-006 1-1/4"" - Galvanized Elbow - 90°"
1-2-x-3-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-050-3.5,0.249,lb,563-035,0.22,0.249,0.88,"Mueller Streamline 563-035 1/2"" x 3-1/2"" - Galvanized Nipple"
1-2-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-050-4,0.284,lb,563-040,0.25,0.284,0.88,"Mueller Streamline 563-040 1/2"" x 4"" - Galvanized Nipple"
3-4-x-3-galvanized-nipple,UPDATE,UPDATE,GAPN-075-3,0.284,lb,564-030,0.25,0.284,0.88,"Mueller Streamline 564-030 3/4"" x 3"" - Galvanized Nipple"
1-1-2-x-3-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-150-3.5,0.794,lb,567-035,0.7,0.794,0.88,"Mueller Streamline 567-035 1-1/2"" x 3-1/2"" - Galvanized Nipple"
1-1-2-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-150-4,0.906,lb,567-040,0.8,0.906,0.88,"Mueller Streamline 567-040 1-1/2"" x 4"" - Galvanized Nipple"
1-1-2-x-5-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-150-5.5,1.248,lb,567-055,1.1,1.248,0.88,"Mueller Streamline 567-055 1-1/2"" x 5-1/2"" - Galvanized Nipple"
2-x-3-galvanized-nipple,UPDATE,UPDATE,GAPN-200-3,0.913,lb,568-030,0.8,0.913,0.88,"Mueller Streamline 568-030 2"" x 3"" - Galvanized Nipple"
2-x-3-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-200-3.5,1.067,lb,568-035,0.94,1.067,0.88,"Mueller Streamline 568-035 2"" x 3-1/2"" - Galvanized Nipple"
3-4-black-iron-tee,UPDATE,UPDATE,BLIF-075-TEE,0.492,lb,520-604,0.43,0.492,0.87,"Mueller Streamline 520-604 3/4"" Black Iron Tee"
2-x-1-1-2-black-iron-elbow-90,UPDATE,UPDATE,BLIF-200.150-90EL,1.667,lb,520-187,1.45,1.667,0.87,"Mueller Streamline 520-187 2"" x 1-1/2"" Black Iron Elbow - 90°"
3-8-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-038-CLS,0.046,lb,582-001,0.04,0.046,0.87,"Mueller Streamline 582-001 3/8"" x Close - Black Iron Nipple"
2-1-2-x-5-black-iron-nipple,UPDATE,UPDATE,BLPN-250-5,2.416,lb,589-050,2.1,2.416,0.87,"Mueller Streamline 589-050 2-1/2"" x 5"" - Black Iron Nipple"
3-4-galvanized-tee,UPDATE,UPDATE,GAIF-075-TEE-G,0.492,lb,510-604,0.43,0.492,0.87,"Mueller Streamline 510-604 3/4"" - Galvanized Tee"
1-1-2-x-5-galvanized-nipple,UPDATE,UPDATE,GAPN-150-5,1.133,lb,567-050,0.99,1.133,0.87,"Mueller Streamline 567-050 1-1/2"" x 5"" - Galvanized Nipple"
1-2-black-iron-tee,UPDATE,UPDATE,BLIF-050-TEE,0.302,lb,520-603,0.26,0.302,0.86,"Mueller Streamline 520-603 1/2"" Black Iron Tee"
1-1-4-x-1-black-iron-elbow-90,UPDATE,UPDATE,BLIF-125.100-90EL,0.8,lb,520-165,0.69,0.8,0.86,"Mueller Streamline 520-165 1-1/4"" x 1"" Black Iron Elbow - 90°"
1-2-galvanized-tee,UPDATE,UPDATE,GAIF-050-TEE-G,0.302,lb,510-603,0.26,0.302,0.86,"Mueller Streamline 510-603 1/2"" - Galvanized Tee"
1-1-4-x-1-galvanized-elbow-90,UPDATE,UPDATE,GAIF-125.100-90EL-G,0.8,lb,510-165,0.69,0.8,0.86,"Mueller Streamline 510-165 1-1/4"" x 1"" - Galvanized Elbow - 90°"
1-x-3-galvanized-nipple,UPDATE,UPDATE,GAPN-100-3,0.419,lb,565-030,0.36,0.419,0.86,"Mueller Streamline 565-030 1"" x 3"" - Galvanized Nipple"
1-1-4-x-3-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-125-3.5,0.664,lb,566-035,0.57,0.664,0.86,"Mueller Streamline 566-035 1-1/4"" x 3-1/2"" - Galvanized Nipple"
2-1-2-x-4-black-iron-nipple,UPDATE,UPDATE,BLPN-250-4,1.933,lb,589-040,1.65,1.933,0.85,"Mueller Streamline 589-040 2-1/2"" x 4"" - Black Iron Nipple"
3-x-5-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-300-5.5,3.477,lb,590-055,2.96,3.477,0.85,"Mueller Streamline 590-055 3"" x 5-1/2"" - Black Iron Nipple"
3-8-x-1-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-038-1.5,0.07,lb,562-015,0.06,0.07,0.85,"Mueller Streamline 562-015 3/8"" x 1-1/2"" - Galvanized Nipple"
3-4-x-2-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-075-2.5,0.236,lb,564-025,0.2,0.236,0.85,"Mueller Streamline 564-025 3/4"" x 2-1/2"" - Galvanized Nipple"
1-1-2-x-3-galvanized-nipple,UPDATE,UPDATE,GAPN-150-3,0.681,lb,567-030,0.58,0.681,0.85,"Mueller Streamline 567-030 1-1/2"" x 3"" - Galvanized Nipple"
1-1-2-x-4-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-150-4.5,1.021,lb,567-045,0.87,1.021,0.85,"Mueller Streamline 567-045 1-1/2"" x 4-1/2"" - Galvanized Nipple"
3-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-300-CLS,1.66,lb,590-001,1.4,1.66,0.84,"Mueller Streamline 590-001 3"" x Close - Black Iron Nipple"
1-2-x-3-galvanized-nipple,UPDATE,UPDATE,GAPN-050-3,0.214,lb,563-030,0.18,0.214,0.84,"Mueller Streamline 563-030 1/2"" x 3"" - Galvanized Nipple"
3-4-x-2-galvanized-nipple,UPDATE,UPDATE,GAPN-075-2,0.19,lb,564-020,0.16,0.19,0.84,"Mueller Streamline 564-020 3/4"" x 2"" - Galvanized Nipple"
1-1-4-x-3-galvanized-nipple,UPDATE,UPDATE,GAPN-125-3,0.569,lb,566-030,0.48,0.569,0.84,"Mueller Streamline 566-030 1-1/4"" x 3"" - Galvanized Nipple"
2-1-2-x-5-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-250-5.5,2.657,lb,589-055,2.18,2.657,0.82,"Mueller Streamline 589-055 2-1/2"" x 5-1/2"" - Black Iron Nipple"
1-1-4-x-2-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-125-2.5,0.474,lb,566-025,0.39,0.474,0.82,"Mueller Streamline 566-025 1-1/4"" x 2-1/2"" - Galvanized Nipple"
1-1-2-x-2-galvanized-nipple,UPDATE,UPDATE,GAPN-150-2,0.454,lb,567-020,0.37,0.454,0.81,"Mueller Streamline 567-020 1-1/2"" x 2"" - Galvanized Nipple"
1-1-2-x-2-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-150-2.5,0.567,lb,567-025,0.46,0.567,0.81,"Mueller Streamline 567-025 1-1/2"" x 2-1/2"" - Galvanized Nipple"
2-x-2-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-200-2.5,0.761,lb,568-025,0.62,0.761,0.81,"Mueller Streamline 568-025 2"" x 2-1/2"" - Galvanized Nipple"
